grid,StationUID,StationID,StationName,StationAddress,BikeAllowOnHoliday,lat,lng
58,TYMC-A14a,A14a,機場旅館站,桃園市大園區航站南路1之2號,False,25.069,121.221
246,TYMC-A21,A21,環北站,桃園市中壢區中豐北路一段26號,False,24.967,121.221
119,TYMC-A7,A7,體育大學站,桃園市龜山區文化一路688號,False,25.041,121.385
135,TYMC-A17,A17,領航站,桃園市大園區橫峰里37鄰領航北路四段351號,False,25.024,121.221
42,TYMC-A10,A10,山鼻站,桃園市蘆竹區南山路三段155號,False,25.081,121.286
68,TYMC-A8,A8,長庚醫院站,桃園市龜山區文化一路6號,False,25.061,121.37
38,TYMC-A13,A13,機場第二航廈站,桃園市大園區航站南路9號地下一層之1號,False,25.077,121.232
218,TYMC-A20,A20,興南站,桃園市中壢區興和里6鄰中豐北路一段685號,False,24.98,121.216
39,TYMC-A12,A12,機場第一航廈站,桃園市大園區航站南路17之1號,False,25.082,121.239
57,TYMC-A15,A15,大園站,桃園市大園區橫湳一路50號,False,25.056,121.211
24,TYMC-A11,A11,坑口站,桃園市蘆竹區坑菓路460號,False,25.086,121.266
162,TYMC-A18,A18,高鐵桃園站,桃園市中壢區青埔里2鄰高鐵北路一段5號,False,25.014,121.214
67,TYMC-A9,A9,林口站,新北市林口區八德路290號,False,25.066,121.362
107,TYMC-A16,A16,橫山站,桃園市大園區大竹南路1180號,False,25.037,121.216
161,TYMC-A19,A19,桃園體育園區站,桃園市中壢區芝芭里1鄰高鐵南路二段350號,False,25.002,121.203
