Name,lat,lng,weight
台南二中,23.00303,120.21341000000001,1
西門、友愛街口,22.99224,120.19833999999999,1
臺南轉運站,23.00171,120.20901,1
家齊高中,22.98131,120.20118000000001,1
南興里,22.96876,120.27751,1
北門高中,23.16691,120.17396000000001,1
仁愛街,23.043229999999998,120.23863999999999,1
臺南高工,23.014210000000002,120.23041,1
和順國中,23.06881,120.22296999999999,1
潭頂,23.077189999999998,120.32128999999999,1
新光三越新天地,22.98695,120.19774,1
那拔林,23.06802,120.35045,1
大智里活動中心,22.96169,120.23023,1
亞伯大飯店,22.968239999999998,120.21587,1
勝利路,22.99853,120.21818,1
民德路口,23.003220000000002,120.20411000000001,1
新豐高中,22.97194,120.29558999999999,1
工業三路口,23.037110000000002,120.15323000000001,1
蘇厝,23.126479999999997,120.25571000000001,1
城南新綠園,23.059060000000002,120.12301000000001,1
圓環,23.184620000000002,120.24193000000001,1
復興路口,23.08204,120.29551000000001,1
和順,23.06346,120.21871000000002,1
北勢寮,23.20959,120.23943,1
崑山中學,23.010939999999998,120.22554,1
中山、民權路口,22.99398,120.20709,1
市立醫院,22.96878,120.22758999999999,1
善化高中,23.13012,120.30036000000001,1
台南醫院新化分院,23.063489999999998,120.33553,1
巷口,23.18017,120.24802,1
臺南火車站(南站),22.99706,120.21118999999999,1
中華電信,22.99345,120.20281000000001,1
臺南公園(北門路),23.000629999999997,120.21308,1
長榮東寧路口,22.99251,120.22174,1
崇德十四街口,22.97082,120.22746000000001,1
小新里,23.12916,120.31168999999998,1
中華北文賢路口,23.01825,120.19398999999999,1
嘉南藥理大學,22.92125,120.22471000000002,1
竹溪寺(大林路),22.97397,120.20658999999999,1
臺南轉運站,23.00204,120.20936,1
成功路,22.99803,120.20753,1
大灣,23.00832,120.26843999999998,1
尚頂里,23.027620000000002,120.22237,1
善化國中,23.14784,120.28808000000001,1
歸仁文化中心,22.96625,120.29816000000001,1
安平港,22.97315,120.17765,1
南稅三村,22.976679999999998,120.19318999999999,1
大道新城,23.01041,120.21615,1
西門、友愛街口,22.99113,120.19816999999999,1
工務段,23.04502,120.30373,1
影劇三村,22.99857,120.24318000000001,1
西拉雅公園,23.10267,120.28308999999999,1
期美科技公司,23.12667,120.20231000000001,1
三官廟,22.97566,120.19179,1
中華西路二段,23.00521,120.18668999999998,1
永新社區,23.060589999999998,120.29628000000001,1
民生綠園,22.993370000000002,120.20621000000001,1
奇美佳里分院,23.18079,120.18355,1
義林一街口,22.97044,120.26196999999999,1
文賢路,23.00666,120.19366000000001,1
新豐高中,22.97198,120.29539,1
國聖大橋,23.08021,120.13853,1
永康,23.02705,120.25948999999999,1
文南里,22.98404,120.18621,1
和緯育德路口,23.01216,120.20551999999999,1
建成市場,23.00884,120.21023000000001,1
七十二份,23.10194,120.16143000000001,1
市立醫院,22.96878,120.22758999999999,1
東門路,22.98181,120.22842,1
大灣三街,23.00443,120.26616000000001,1
臺灣歷史博物館(長和路),23.05855,120.23215,1
安平蚵灰窯文化館,23.00243,120.16428,1
安平國中,22.99854,120.16951,1
富強社區,22.980710000000002,120.29373999999999,1
日新,23.15345,120.34942,1
中華、振興路口,23.01105,120.23223999999999,1
家樂福,22.98886,120.18761,1
磚窯,23.128629999999998,120.31368,1
新市火車站,23.06795,120.29033000000001,1
復興國中,22.98271,120.24076000000001,1
安南醫院,23.06449,120.22366000000001,1
億載金城,22.98893,120.16016,1
漁光分校,22.97782,120.15845,1
日新,23.15318,120.34885,1
民生路二段,22.99701,120.19067,1
塭南里,23.06983,120.22072,1
西湖街口,23.00392,120.18695,1
富農街口,22.977970000000003,120.23393999999999,1
文元寮,23.01533,120.19361,1
海東橋,23.03077,120.19035,1
鹽埕,22.97042,120.19044,1
成大醫院(勝利路),23.00277,120.21871000000002,1
成大醫院(勝利路),23.00277,120.21871000000002,1
大灣,23.008110000000002,120.26833,1
台南醫院新化分院,23.06341,120.33563999999998,1
四草生態文化園區(大眾廟),23.01924,120.13473,1
佳和公司,23.10041,120.29495,1
保華路,22.95874,120.22758999999999,1
海東橋,23.03055,120.19021000000001,1
遠東科技大學,23.063489999999998,120.29491000000002,1
虛擬站[仁德系統],22.93736,120.25171,1
空軍臺南基地,22.95131,120.21678999999999,1
崁仔頭,22.962410000000002,120.29068999999998,1
慈濟台南分會,22.97065,120.26026,1
小新里,23.12916,120.31168999999998,1
那拔林,23.06802,120.35045,1
成大會館,22.99576,120.21822,1
遠東科技大學,23.064770000000003,120.29408000000001,1
營頂,23.19891,120.18881999999999,1
安順國小,23.04808,120.21836,1
蓮昭巷,22.898410000000002,120.34476000000001,1
新化站,23.03594,120.30945,1
關廟轉運站,22.96348,120.33738999999998,1
仁德,22.97162,120.25227,1
西門、民權路口,22.994970000000002,120.19939,1
四草野生動物保護區,23.02668,120.13741999999999,1
學東廟,23.07865,120.14367,1
花園夜市,23.00923,120.20002,1
樹人路口,23.13264,120.30008000000001,1
城子內,23.17924,120.14355,1
成功國中,23.009520000000002,120.21448000000001,1
善化啤酒廠,23.127670000000002,120.31719,1
埤圳邊,23.04449,120.19313000000001,1
德高國小,22.962410000000002,120.23593999999999,1
保生大帝宮,23.035729999999997,120.29508999999999,1
遠東科技大學,23.064770000000003,120.29408000000001,1
大灣三街,23.00457,120.26621999999999,1
日新橋,22.96273,120.18938,1
水利會,23.04165,120.30572,1
服務中心,22.97329,120.18281999999999,1
仁愛里國泰社區,22.954060000000002,120.21767,1
聖母廟(安中路),23.066229999999997,120.12743999999999,1
麻豆監理站,23.189989999999998,120.24881,1
大員皇冠假日酒店(州平路),22.99991,120.14906,1
關廟轉運站,22.96348,120.33738999999998,1
永康火車站,23.038420000000002,120.25366000000001,1
日新國小,22.97179,120.19057,1
臺南高工,23.01418,120.23035,1
新化保養廠,23.043689999999998,120.31477,1
大橋,23.01848,120.22661000000001,1
新樓醫院,23.18079,120.23261000000001,1
永新社區,23.060579999999998,120.29648,1
榮民醫院,22.99861,120.23933999999998,1
國平路口,22.99125,120.17053999999999,1
曾文農工,23.187260000000002,120.26371999999999,1
龍崗國小,22.961579999999998,120.16962,1
砂崙路口,23.076810000000002,120.13056,1
中山、民權路口,22.99398,120.20709,1
台電配電中心,23.024420000000003,120.21891000000001,1
營盤後,23.03606,120.30173,1
圓環,23.184620000000002,120.24193000000001,1
蕭壠文化園區,23.17172,120.17953999999999,1
安平蚵灰窯文化館,23.00243,120.16428,1
真理大學,23.21963,120.22858000000001,1
豐和里,23.22009,120.20082,1
三舍,23.090339999999998,120.29527,1
國際城,23.01501,120.20988,1
仁安路,23.05136,120.17861,1
健康西門路口,22.98152,120.19733000000001,1
大亞公司,22.96199,120.31613999999999,1
台南應用科技大學,23.036839999999998,120.23799,1
臺南轉運站,23.00185,120.20908,1
赤崁樓,22.99687,120.20263,1
港仔里,23.00017,120.16215,1
後壁厝,22.95049,120.25146000000001,1
濟德宮,23.09852,120.30845,1
富農街口,22.97788,120.23403,1
無障礙福利之家,23.00046,120.22543,1
善化高中,23.13012,120.30036000000001,1
稅務局安南分局,23.04767,120.18087,1
北勢里活動中心,22.96408,120.33228999999999,1
台南站,22.98237,120.19758999999999,1
達興公司,23.048189999999998,120.30211000000001,1
文賢國中,23.00435,120.19371000000001,1
一商前,23.18369,120.24921,1
南雄橋,22.89394,120.34058,1
復華二街口,23.00765,120.24618000000001,1
虛擬站6,23.05401,120.13946000000001,1
南灣,23.00281,120.26534,1
亞蔬中心,23.11515,120.29451,1
文賢國中,23.00411,120.19372,1
縣知事官邸,22.99385,120.21167,1
台灣首府大學宿舍,23.19257,120.26881000000002,1
千鳥橋,23.07017,120.35576,1
觀夕平台,22.99064,120.14705,1
榮民醫院,22.99861,120.23933999999998,1
成大光復校區,22.99634,120.21761000000001,1
蔦松腳,22.93968,120.24865,1
西劉厝,23.12756,120.17693,1
大道公廟,22.99811,120.20611000000001,1
南大崎,23.02966,120.22491000000001,1
臺南火車站(北站),22.997889999999998,120.21158,1
鹽田社區,23.03416,120.14681000000002,1
水景公園停車場,22.99911,120.15823999999999,1
蕭壠文化園區,23.17172,120.17953999999999,1
開山路,22.99072,120.20626000000001,1
成功大學,23.001079999999998,120.21788000000001,1
虛擬站[長榮x東門路],22.98648,120.21885,1
曾文農工,23.187260000000002,120.26371999999999,1
南紡購物中心,22.991529999999997,120.23374,1
公親里,23.07773,120.20675,1
臺南公園(北門路),23.00038,120.21292,1
安順市場,23.03275,120.21238999999998,1
關廟區公所,22.96268,120.32797,1
善化轉運站,23.13361,120.30603,1
龜洞,22.90117,120.35088,1
得力實業,23.104589999999998,120.29463,1
南鹽行,23.038339999999998,120.23381,1
紅樹林社區,23.03246,120.13815,1
民德國中,23.005010000000002,120.20541999999999,1
清濟宮,23.21125,120.18568,1
東春紡織,22.991989999999998,120.27299,1
十二佃,23.06276,120.17631999999999,1
虛擬站4[海寮],23.09611,120.20961000000001,1
後壁厝,22.95052,120.25148999999999,1
竹子腳(大灣),23.02917,120.29427,1
小北商場,23.007820000000002,120.20687,1
唪口,23.036379999999998,120.30063999999999,1
永康火車站,23.038420000000002,120.25366000000001,1
後港腳,23.18381,120.15178,1
小西門(大億麗緻),22.988529999999997,120.19753,1
北勢里,22.961920000000003,120.33143999999999,1
亞蔬中心,23.114829999999998,120.29436000000001,1
長榮東豐路口,23.00319,120.22263000000001,1
和順國宅,23.04267,120.19613000000001,1
溪子墘社區,23.02085,120.19233,1
善化轉運站,23.13361,120.30603,1
天公廟,23.00001,120.25777,1
虛擬站[健康x南門路],22.98141,120.20357,1
北安順,23.038510000000002,120.21466000000001,1
西港,23.12186,120.20318999999999,1
電姬戲院,23.18366,120.24481999999999,1
生產路口,22.96552,120.21649,1
善化區公所,23.13221,120.29709,1
建國里,22.99861,120.24903,1
崁仔頭,22.96216,120.29059,1
溪仔墘社區,23.02072,120.19238,1
永康,23.02705,120.25948999999999,1
窩仔底,22.92863,120.27723,1
崑山中學,23.01083,120.22567,1
西新市,23.078670000000002,120.29081000000001,1
新化地政事務所,23.05516,120.29915,1
