grid,StopUID,AuthorityID,Bearing,City,StationID,StopAddress,StopName,lat,lng
60,TXG21661,007,none,Taichung,none,none,大甲,24.3431,120.625435
427,TXG13616,007,none,Taichung,none,none,和大公司,24.092512,120.721542
307,TXG2547,007,none,Taichung,none,none,逢甲橋,24.1784033333333,120.737186666667
443,TXG19458,007,none,Taichung,none,none,錦州吉峰西路口,24.078112,120.708791
172,TXG11547,007,none,Taichung,none,none,庄頭,24.258165,120.66305
8,TXG8615,007,none,Taichung,none,none,建興,24.41268333,120.6145833
344,TXG13220,007,none,Taichung,none,none,莒光新城,24.1540812521,120.688140392
10,TXG21539,007,none,Taichung,none,none,幼二青三路3巷口,24.403374,120.645721
388,TXG2184,007,none,Taichung,none,none,興大附農(臺中路),24.1274633333333,120.684413333333
321,TXG15211,007,none,Taichung,none,none,秋紅谷(朝陽橋),24.16892,120.63968
318,TXG14007,007,none,Taichung,none,none,台灣薄膜,24.159867,120.601869
325,TXG11492,007,none,Taichung,none,none,太原二號橋,24.164894,120.706568
300,TXG1731,007,none,Taichung,none,none,西屯河南路口,24.17317,120.644803333333
299,TXG685,007,none,Taichung,none,none,福科永福路口,24.183679,120.621286
228,TXG14693,007,none,Taichung,none,none,南勢里,24.221262,120.556128
426,TXG19453,007,none,Taichung,none,none,仁化里,24.09618,120.701108
344,TXG16296,007,none,Taichung,none,none,中興堂,24.146209,120.684631
425,TXG19107,007,none,Taichung,none,none,仁化中興路口,24.092471,120.691819
306,TXG623,007,none,Taichung,none,none,東山建和路口,24.17611,120.72452
296,TXG7519,007,none,Taichung,none,none,新庄里,24.180242,120.583272
238,TXG22348,007,none,Taichung,none,none,摘星山莊,24.2239373,120.69658611
342,TXG2101,007,none,Taichung,none,none,向上大墩路口,24.146745,120.649365
277,TXG3267,007,none,Taichung,none,none,國安社區(宜寧中學),24.193204,120.60659
366,TXG3713,007,none,Taichung,none,none,林祖厝,24.132556,120.678273
260,TXG7281,007,none,Taichung,none,none,中山合作街口,24.2048884805,120.704646707
83,TXG6924,007,none,Taichung,none,none,安眉福美路口,24.33047862,120.7360715
217,TXG11671,007,none,Taichung,none,none,栗林活動中心,24.230215,120.7108766
46,TXG12862,007,none,Taichung,none,none,文武公園,24.3551,120.622028
46,TXG19881,007,none,Taichung,none,none,文昌祠,24.347431,120.622473
193,TXG13890,007,none,Taichung,none,none,福華公司,24.25099,120.676223
97,TXG20554,007,none,Taichung,none,none,三線三月路口,24.307094,120.689334
266,TXG10396,007,none,Taichung,none,none,單冬,24.205082,120.790311
344,TXG20873,007,none,Taichung,none,none,臺灣體大體育場,24.152036,120.68852
162,TXG17639,007,none,Taichung,none,none,安仁里,24.2536090616,120.528546274
365,TXG20843,007,none,Taichung,none,none,林森三民路口,24.136091,120.672256
96,TXG12015,007,none,Taichung,none,none,四塊厝(甲后路),24.31694,120.67449
