grid,StationUID,StationID,StationName,StationAddress,BikeAllowOnHoliday,lat,lng
184,KRTC-R15,R15,生態園區,高雄市左營區博愛三路435號地下一層,True,22.676738,120.306618
236,KRTC-O14,O14,鳳山國中,高雄市鳳山區中山東路225號地下一層,True,22.624915,120.372477
234,KRTC-O10,O10,衛武營,高雄市苓雅區中正一路2號地下一層,True,22.625162,120.34095
269,KRTC-R5,R5,前鎮高中,高雄市前鎮區翠亨北路225號地下一樓,True,22.588356,120.319551
143,KRTC-R21,R21,都會公園,高雄市楠梓區高楠公路1835號,True,22.729403,120.320978
154,KRTC-R19,R19,楠梓加工區,高雄市楠梓區加昌路598號,True,22.718671,120.307133
174,KRTC-R16,R16,左營,高雄市左營區高鐵路107號地下一層,True,22.688073,120.309219
245,KRTC-R8,R8,三多商圈,高雄市前鎮區中山二路268號地下一層,True,22.614011,120.304499
235,KRTC-O12,O12,鳳山,高雄市鳳山區光遠路446號地下層,True,22.625994,120.355262
238,KRTC-OT1,OT1,大寮,高雄市大寮區捷西路300號,True,22.622423,120.389773
232,KRTC-O6,O6,信義國小,高雄市新興區中正三路32-1號地下一樓,True,22.630745,120.311622
230,KRTC-O2,O2,鹽埕埔,高雄市鹽埕區大勇路96號地下一層,True,22.623538,120.283728
280,KRTC-R4,R4,高雄國際機場,高雄市小港區中山四路2之2號地下一樓,True,22.570199,120.342125
232,KRTC-O5,O5,美麗島,高雄市新興區中山一路115號地下一樓,True,22.631387,120.301957
281,KRTC-R3,R3,小港,高雄市小港區沿海一路280號地下一樓,True,22.564822,120.35384
233,KRTC-O8,O8,五塊厝,高雄市苓雅區中正一路286號地下一層,True,22.629331,120.328381
117,KRTC-R23,R23,橋頭火車站,高雄市橋頭區站前街12之1號,True,22.760452,120.310936
236,KRTC-O13,O13,大東,高雄市鳳山區光遠路226號地下一層,True,22.625197,120.363384
219,KRTC-R11,R11,高雄車站,高雄市三民區建國二路320號地下一層,True,22.639769,120.302664
231,KRTC-O4,O4,市議會,高雄市前金區中正四路192-1號地下一層,True,22.629002,120.294886
233,KRTC-O7,O7,文化中心,高雄市苓雅區中正二路45號地下一層,True,22.630292,120.317599
206,KRTC-R12,R12,後驛,高雄市三民區博愛一路220號地下一層,True,22.648314,120.303361
130,KRTC-R22A,R22A,橋頭糖廠,高雄市橋頭區興糖路19號,True,22.753398,120.314466
164,KRTC-R18,R18,油廠國小,高雄市楠梓區左楠路6號,True,22.708479,120.302325
269,KRTC-R4A,R4A,草衙,高雄市前鎮區翠亨南路555號地下一樓,True,22.580363,120.328443
232,KRTC-R9,R9,中央公園,高雄市前金區中山一路11號地下一層,True,22.624628,120.301151
258,KRTC-R6,R6,凱旋,高雄市前鎮區中山三路1號地下一樓,True,22.596856,120.315142
206,KRTC-R13,R13,凹子底,高雄市鼓山區博愛二路21號地下一層,True,22.657126,120.303104
195,KRTC-R14,R14,巨蛋,高雄市左營區博愛二路485號地下一層,True,22.666135,120.303308
103,KRTC-R24,R24,南岡山,高雄市岡山區大遼里9鄰中山南路2號,True,22.780544,120.301774
230,KRTC-O1,O1,西子灣,高雄市鼓山區臨海二路17-1號地下一層,True,22.621544,120.274541
234,KRTC-O9,O9,技擊館,高雄市苓雅區中正一路99號地下一層,True,22.627291,120.334523
232,KRTC-R10,R10,美麗島,高雄市新興區中山一路115號地下一樓,True,22.631387,120.301957
245,KRTC-R7,R7,獅甲,高雄市前鎮區中山三路150號地下一層,True,22.60587,120.308189
131,KRTC-R22,R22,青埔,高雄市橋頭區經武路20號,True,22.744399,120.317679
235,KRTC-O11,O11,鳳山西站,高雄市鳳山區自由路281號地下層,True,22.625331,120.348267
164,KRTC-R17,R17,世運,高雄市楠梓區左楠路1號,True,22.701622,120.302526
155,KRTC-R20,R20,後勁,高雄市楠梓區加昌路178號,True,22.7223,120.316236
