grid,StopUID,AuthorityID,Bearing,City,StationID,StopAddress,StopName,lat,lng
732,TPE14524,004,S,Taipei,2917,安康路二段196-1號同向,浪漫貴族,24.95991,121.51084
601,TPE39516,004,N,Taipei,1001074,景文街169號,景美國小(景文),24.9891053967322,121.540918398248
215,TPE152692,004,N,Taipei,20378,行義路114巷南側,明山宮,25.1281732,121.5292833
441,TPE10757,004,S,Taipei,1521,三民路20號同向,西松國小,25.05279,121.56371
440,TPE12182,004,W,Taipei,16005,南京東路五段+三民路同向,南京三民路口,25.0515437824988,121.561005793367
249,TPE13163,004,S,Taipei,644,中山北路七段75號同向,天母新村,25.12124699952,121.53134848347
506,TPE22044,004,W,Taipei,3533,雙鳳路102號同向,丹鳳派出所,25.028166,121.414057
398,TPE41598,004,N,Taipei,10203,承德路二段145號,民生西路口,25.05801,121.51829
186,TPE41141,004,N,Taipei,3965,中央北路三段78號同向,捷運復興崗站,25.138009138037,121.48494894973
249,TPE201604,004,S,Taipei,50655,天母北路2之3號同向,天母國小,25.118950713724,121.52615807606
323,TPE44976,004,S,Taipei,741,延平北路六段308號對面,社子國小,25.08961,121.5028142
480,TPE194717,004,W,Taipei,6932,北市南港區福德街72號,松友新村,25.037055,121.580964
602,TPE202746,004,N,Taipei,1165603218,辛亥路5段33號前,中國科技大學(辛亥),24.999501,121.554092
248,TPE41094,004,N,Taipei,442,東華街19號同向,陽明大學(東華),25.119636,121.511973
437,TPE18644,004,W,Taipei,1754,成都路119號同向,西門國小,25.043299072488,121.50400338161
325,TPE45965,004,W,Taipei,1165604814,臺北市士林區中正路310號,士林國中,25.094772,121.522929
400,TPE54829,004,W,Taipei,1000329,民權東路三段,民權復興路口,25.06222037,121.5446524
555,TPE45336,004,S,Taipei,3002,永和路二段85號同向,中興街口,25.0115956,121.5147464
285,TPE17067,004,E,Taipei,230,延平北路七段106巷205號同向,明安宮,25.10207,121.49608
440,TPE27751,004,S,Taipei,13107,敦化北路上近南京東路三段,南京敦化路口(小巨蛋),25.052139,121.548768
366,TPE125615,004,E,Taipei,1041,內湖路一段596號,西湖圖書館(湖光教會),25.078723231949,121.578530509275
478,TPE45549,004,W,Taipei,389,台北市忠孝東路4段425號,捷運國父紀念館站(忠孝),25.04145,121.55901
516,TPE136200,004,E,Taipei,2146,和平東路三段223號對向,捷運六張犁站(和平),25.0232432826612,121.553534505165
187,TPE143372,004,W,Taipei,5060,永興路一段9號,大同街口,25.13898,121.49969
441,TPE39977,004,E,Taipei,1545,南京東路五段225號同向,南京公寓(捷運南京三民),25.051276,121.564943
213,TPE55998,004,N,Taipei,358,北投路二段一號同向,捷運北投站(北投),25.13225,121.49802
397,TPE21350,004,E,Taipei,13209,中山路2號對向,聯合醫院(三重院區),25.0612882442498,121.490767288608
288,TPE16405,004,E,Taipei,745,至誠路一段150號對向,芝山公園,25.10132,121.53452
439,TPE45120,004,W,Taipei,1547,南京東路三段上近復興北路同向,捷運南京復興站,25.0518859229538,121.544464707353
517,TPE43572,004,N,Taipei,6680,松仁路155號,信義國中(松仁),25.02881,121.568464
552,TPE42406,004,N,Taipei,1001063,實踐路1號,介壽公園,25.00860074,121.4634845
218,TPE20698,004,E,Taipei,9462,地標,鵝尾山步道口,25.12874,121.57532
598,TPE30426,004,N,Taipei,3080,連城路183號同向(向東),中和國稅局,24.9981696630183,121.495123116568
322,TPE10563,004,S,Taipei,15050,復興路153號,復興路,25.08881838,121.4779718
319,TPE36329,004,S,Taipei,3726,成泰路三段38號同向,坑口,25.08890012,121.4421924
441,TPE10214,004,W,Taipei,1000426,松隆路63號(向西),松隆路口,25.04505676,121.5694412
395,TPE199263,004,N,Taipei,3733,思源路746號(向北),思源新北大道路口,25.0593398918798,121.460075717197
650,TPE17726,004,W,Taipei,1000522,木新路,景文中學,24.9841119210195,121.568940442089
138,TPE129939,004,N,Taipei,3828,中山北路一段50號同向,北淡水,25.175642,121.441884
440,TPE193872,004,N,Taipei,1165604691,光復南路82號對面,市民光復路口,25.044387,121.557823
325,TPE20874,004,W,Taipei,797,中正路204號同向,捷運士林站(中正),25.0955831514139,121.526622443472
604,TPE15079,004,W,Taipei,50676,政大二街215巷對向,政大清境社區,24.98959656,121.5872624
248,TPE41090,004,E,Taipei,156,石牌路一段62號同向,石牌路,25.11352,121.51129
187,TPE25921,004,N,Taipei,511,稻香路79號對向,稻香市場,25.140587156476,121.4896690086
398,TPE29077,004,N,Taipei,1422,民生西路上近重慶北路同向,民生重慶路口,25.0567660236851,121.513825816749
650,TPE17399,004,N,Taipei,2384,保儀路33號同向,木柵市場,24.9879719237069,121.568689314716
601,TPE17346,004,N,Taipei,1001074,景文街169號,景美國小(景文),24.9891053967322,121.540918398248
514,TPE35555,004,S,Taipei,2359,羅斯福路三段上近浦城街口同向,羅斯福浦城街口,25.0224187553298,121.526085861859
368,TPE38357,004,S,Taipei,1000201,康樂街200號,五分埤,25.0762017702812,121.62118809341
213,TPE41931,004,N,Taipei,7239,光明路16號同向,第一銀行,25.1349245246441,121.502548648882
437,TPE40716,004,W,Taipei,1000082,捷運臺北車站M5出口~M4出口(交7)(向西),臺北車站(忠孝),25.0465305784296,121.51652326089
