grid,StopUID,AuthorityID,Bearing,City,StationID,StopAddress,StopName,lat,lng
7,TNN5902,008,none,Tainan,7398,台南市佳里區中央公路29號,營頂,23.19935,120.18853
39,TNN6483,008,none,Tainan,3191,台南市佳里區文化路676-696號,佛天宮,23.16286,120.16514
171,TNN8725,008,none,Tainan,9307,台南市安南區長和路一段250號,臺灣歷史博物館(長和路),23.05821,120.23288
309,TNN15040,008,none,Tainan,8376,台南市歸仁區中山路一段19號,歸仁交流道,22.96281,120.31265
269,TNN10394,008,none,Tainan,520,台南市中西區健康路一段294號,臺南高商,22.98135,120.20322
309,TNN15605,008,none,Tainan,1537,台南市歸仁區中山路一段1236號,修元堂,22.96456,120.30736
91,TNN16395,008,none,Tainan,8839,台南市善化區縱貫公路,目加溜灣,23.11915,120.31856
150,TNN7029,008,none,Tainan,9235,台南市安南區安和路五段4號,和順,23.06346,120.21871
233,TNN11112,008,none,Tainan,9292,台南市北區和緯路一段58號,成功國中,23.00952,120.21448
255,TNN21914,008,none,Tainan,201,台南市永康區大灣路951號,崑山科大,22.99907,120.25308
91,TNN15944,008,none,Tainan,8701,台南市善化區成功路173-1號,磚窯,23.12848,120.31352
253,TNN8635,008,none,Tainan,292,台南市東區小東路,光明街口,22.99948,120.22883
254,TNN13818,008,none,Tainan,826,台南市永康區中華路154巷3-7號,兵仔市,23.00329,120.23536
76,TNN4714,008,none,Tainan,7764,台南市善化區光文路9號,善化轉運站,23.13361,120.30603
199,TNN4656,008,none,Tainan,7753,台南市新化區中正路506號,國泰大樓,23.03857,120.30708
292,TNN15129,008,none,Tainan,1500,台南市歸仁區中正北路一段3巷18號,歸仁區公所(中正北路),22.96744,120.29434
172,TNN8787,008,none,Tainan,8472,台南市永康區三民街118號,三民街,23.05269,120.24715
78,TNN7079,008,none,Tainan,3641,台南市善化區縱貫公路,北茄拔,23.13941,120.32339
232,TNN10348,008,none,Tainan,329,台南市北區文賢路1082-1090號,文元寮,23.01521,120.19361
111,TNN5770,008,none,Tainan,7582,台南市安定區中央公路,海寮,23.09611,120.20961
87,TNN7048,008,none,Tainan,7999,台南市善化區興農路706號,東蘇厝,23.12783,120.26051
116,TNN4615,008,none,Tainan,3421,台南市新市區南科三路,南科商場,23.09897,120.28202
282,TNN20583,008,none,Tainan,253,台南市安平區漁光路134號,瑞復中心,22.98013,120.15667
267,TNN16661,008,none,Tainan,1408,台南市安平區永華路二段530號,健康二街口,22.99084,120.17398
149,TNN7233,008,none,Tainan,9238,台南市安南區安和路五段294號,北和順,23.06851,120.21667
285,TNN10483,008,none,Tainan,673,台南市南區新興路352號,鹽埕國宅,22.97521,120.18999
312,TNN15483,008,none,Tainan,3309,台南市龍崎區南屏路103號,龍崎區公所,22.96303,120.36524
310,TNN15600,008,none,Tainan,8197,台南市關廟區南雄路一段,香洋里,22.95746,120.32819
233,TNN10198,008,none,Tainan,9267,台南市北區公園路741號,正覺里,23.01731,120.21511
295,TNN15524,008,none,Tainan,3306,台南市關廟區中正路196號,牛稠埔,22.96784,120.34902
165,TNN9132,008,none,Tainan,1115,台南市安南區安中路六段206-1號,學西里,23.06082,120.13715
271,TNN10536,008,none,Tainan,637,台南市東區裕農路78號,裕農路,22.98545,120.22617
252,TNN4483,008,none,Tainan,9272,台南市北區公園路287號,臺南轉運站,23.00185,120.20908
270,TNN14001,008,none,Tainan,1220,台南市中西區南門路225-1號,中山國中,22.98421,120.20409
303,TNN13969,008,none,Tainan,304,台南市東區崇德路827號,東區電信局,22.96571,120.22757
129,TNN5772,008,none,Tainan,7584,台南市安定區安和路六段,中崙,23.07814,120.21182
144,TNN9106,008,none,Tainan,1145,台南市安南區安中路六段518-542號,安中路六段(土城),23.06161,120.13069
313,TNN15484,008,none,Tainan,3310,台南市龍崎區南屏路,崎腳路口,22.95956,120.36966
252,TNN20354,008,none,Tainan,367,台南市中西區民族路二段269號,民族路,22.99632,120.20387
309,TNN15631,008,none,Tainan,8376,台南市歸仁區中山路一段19號,歸仁交流道,22.96281,120.31265
31,TNN6908,008,none,Tainan,7945,台南市麻豆區176縣道,新樓醫院,23.18093,120.23264
249,TNN10222,008,none,Tainan,230,台南市安平區安平路532號,承天橋口,22.99838,120.17131
150,TNN8732,008,none,Tainan,9302,台南市安南區長和路一段845號,東和里,23.06279,120.22739
198,TNN4920,008,none,Tainan,7779,台南市新化區中正路586號,水利會,23.04199,120.30542
199,TNN5061,008,none,Tainan,5450,台南市新化區忠孝路2號,新化區公所,23.03832,120.31097
40,TNN5758,008,none,Tainan,7370,台南市佳里區中山路164號,南佳里,23.15821,120.17706
168,TNN9097,008,none,Tainan,343,台南市安南區安中路三段364-368號,海東國小,23.04888,120.17569
310,TNN15208,008,none,Tainan,1533,台南市關廟區中山路二段137號,關廟國中,22.96034,120.32481
190,TNN14134,008,none,Tainan,1052,台南市安南區海佃路三段34號,海佃路三段,23.04777,120.18336
75,TNN6992,008,none,Tainan,7767,台南市善化區中山路482號,善化,23.13252,120.28965
154,TNN4914,008,none,Tainan,3411,台南市新市區中華路88號,新市火車站,23.06795,120.29033
234,TNN20871,008,none,Tainan,511,台南市永康區縱貫公路,大橋,23.01776,120.22713
146,TNN6284,008,none,Tainan,9007,台南市安南區公學路四段408號,十二佃橋,23.06491,120.17131
80,TNN6195,008,none,Tainan,7878,台南市佳里區南36鄉道49號,蚶寮,23.12621,120.15681
285,TNN8985,008,none,Tainan,8509,台南市南區大成路一段109號,水交社文化園區(大成路),22.97503,120.20001
308,TNN15143,008,none,Tainan,1540,台南市歸仁區大仁街2-20號,歸仁市場,22.96671,120.29667
253,TNN7315,008,none,Tainan,207,台南市北區小東路395-1號,四份子,22.99873,120.23228
271,TNN10453,008,none,Tainan,649,台南市東區裕農路31-39號,裕農路,22.98546,120.22582
268,TNN10475,008,none,Tainan,1430,台南市安平區府前路二段520號,永華市政中心(府前路),22.99316,120.18453
269,TNN16653,008,none,Tainan,8971,台南市中西區海安路一段211號,中正海安路口,22.99288,120.19581
287,TNN14418,008,none,Tainan,377,台南市東區崇明路357號,文化中心(台糖長榮酒店),22.97562,120.22193
15,TNN5997,008,none,Tainan,8578,台南市將軍區南19鄉道2號,竹子腳,23.19363,120.15825
178,TNN4512,008,none,Tainan,5404,台南市新化區中山路1-15號,畜試所,23.05939,120.32966
254,TNN17166,008,none,Tainan,1203,台南市永康區復國一路152-168號,復華一街口,23.00573,120.24611
76,TNN4674,008,none,Tainan,3501,台南市善化區中正路479號,中正路,23.13079,120.29391
309,TNN8933,008,none,Tainan,1532,台南市關廟區中山路二段261號,大亞公司,22.96199,120.31614
307,TNN15730,008,none,Tainan,1824,台南市歸仁區中正南路一段1012號,歸南派出所,22.95434,120.28044
253,TNN20899,008,none,Tainan,291,台南市北區小東路61號敬業校區成功大學,成大醫院(小東路),23.00071,120.22137
308,TNN16535,008,none,Tainan,8942,台南市歸仁區182縣道481號,歸仁文化中心,22.96625,120.29816
143,TNN17635,008,none,Tainan,8608,台南市安南區安中路六段856號,聖母廟(安中路),23.06622,120.12764
233,TNN10554,008,none,Tainan,710,台南市北區北安路一段320號,福安宮,23.02007,120.20633
155,TNN4908,008,none,Tainan,7608,台南市新市區南138鄉道82號,港墘,23.07491,120.30444
199,TNN4970,008,none,Tainan,5435,台南市新化區中山路132號,新化區公所,23.03848,120.31108
272,TNN13813,008,none,Tainan,822,台南市東區中華東路二段55號,中華東路二段,22.98714,120.23358
213,TNN10154,008,none,Tainan,9222,台南市安南區安和路一段212號,安順派出所,23.03047,120.21318
9,TNN6765,008,none,Tainan,7291,台南市麻豆區171縣道5號,莊禮寮,23.19773,120.21257
302,TNN10406,008,none,Tainan,534,台南市東區大同路二段,大同、機場路口,22.96128,120.21709
76,TNN7283,008,none,Tainan,7764,台南市善化區民族路7號,善化轉運站,23.13361,120.30603
253,TNN22415,008,none,Tainan,0,台南市東區小東路132號,虛擬站[長榮x大學路],22.99592,120.22186
197,TNN4581,008,none,Tainan,5118,台南市新化區中山路900號,南光藥廠,23.03513,120.29119
256,TNN8645,008,none,Tainan,2209,台南市永康區大灣路435號,南灣,23.00281,120.26534
240,TNN5310,008,none,Tainan,8133,台南市新化區54-104,加州新城,23.01533,120.30949
248,TNN14382,008,none,Tainan,1227,台南市安平區安北路,白鷺灣社區,22.99722,120.14692
93,TNN6240,008,none,Tainan,7891,台南市七股區南37鄉道,竹橋,23.10416,120.16449
269,TNN6258,008,none,Tainan,5103,台南市中西區永華路一段164號,水萍塭公園,22.98808,120.19254
271,TNN10535,008,none,Tainan,373,台南市東區東門路二段202號,衛生局,22.98518,120.22316
272,TNN13605,008,none,Tainan,695,台南市東區裕忠路185號,虎尾寮重劃區,22.98274,120.24168
355,TNN10092,008,none,Tainan,9107,高雄市茄萣區仁愛路三段,茄萣國小,22.90368,120.18375
271,TNN16632,008,none,Tainan,633,台南市東區東寧路134巷2號,東寧社區,22.99163,120.22248
310,TNN16767,008,none,Tainan,3303,台南市關廟區中正路761號,花園,22.96322,120.33464
198,TNN4578,008,none,Tainan,2228,台南市新化區中山路379-399號,清水寺,23.03581,120.30524
136,TNN4898,008,none,Tainan,7598,台南市新市區南177鄉道1291號,潭頂,23.07756,120.32121
33,TNN7256,008,none,Tainan,7972,台南市麻豆區興國路31巷3-12號,巷口,23.18011,120.24811
213,TNN21482,008,none,Tainan,758,台南市安南區北安路二段105號,聖安街口,23.02703,120.20483
90,TNN7286,008,none,Tainan,3456,台南市善化區中正路280號,坐駕里,23.12607,120.29409
168,TNN6410,008,none,Tainan,8599,台南市安南區海佃路三段287號,本原街口,23.05315,120.17871
127,TNN15848,008,none,Tainan,8644,台南市西港區新復里,溪埔寮,23.08587,120.18608
146,TNN10578,008,none,Tainan,730,台南市安南區育英街,育英街北,23.06465,120.16031
295,TNN15048,008,none,Tainan,3306,台南市關廟區中正路196號,牛稠埔,22.96784,120.34902
170,TNN8897,008,none,Tainan,9356,台南市安南區北安路四段169-5號,北安路四段,23.06131,120.21409
62,TNN6947,008,none,Tainan,4036,台南市善化區南122鄉道308號,六分寮,23.15326,120.30129
30,TNN22019,008,none,Tainan,7947,台南市佳里區176縣道,子龍廟,23.17516,120.20829
76,TNN4629,008,none,Tainan,3014,台南市善化區中山路196號,樹人路口,23.13264,120.30008
355,TNN10094,008,none,Tainan,9109,高雄市茄萣區白砂路10-46號,威武廟,22.90761,120.18403
272,TNN13609,008,none,Tainan,691,台南市東區裕平路,裕平路,22.98502,120.24151
39,TNN6037,008,none,Tainan,7789,台南市佳里區忠孝路72號,北門高中,23.16695,120.17405
171,TNN10162,008,none,Tainan,9230,台南市安南區安和路三段236-264號,安順國中,23.04882,120.21862
228,TNN13978,008,none,Tainan,1011,台南市安南區大眾路492-498號台江國家公園,大社角,23.01817,120.13101
270,TNN10299,008,none,Tainan,369,台南市東區北門路一段32號,東門圓環,22.99021,120.21151
22,TNN22100,008,none,Tainan,1972,臺南市麻豆區忠孝路與南61交叉路口,南勢里,23.18596,120.26091
250,TNN14010,008,none,Tainan,1425,台南市安平區建平路657號,建平十四街口,22.99568,120.18405
165,TNN9133,008,none,Tainan,1116,台南市安南區安中路五段465-503號,農場,23.06017,120.14449
101,TNN4757,008,none,Tainan,3419,台南市新市區西拉雅大道,南科實中,23.10423,120.29002
217,TNN22215,008,none,Tainan,5111,台南市永康區中山北路276號,龍潭口,23.02901,120.26581
