grid,StationUID,StationID,StationName,StationAddress,BikesCapacity,lat,lng
155,HSZ6125,6125,香山國小,牛埔東路260號(校門右側人行道),38,24.796454,120.944523
142,HSZ6109,6109,新竹公園(公園路),公園路300號(左側人行道),46,24.802579,120.978717
176,HSZ9605,9605,矽導研發中心停車場,力行二路2號前人行道,46,24.77279,121.01881
159,HSZ6135,6135,交通大學(逐風廣場),大學路1001號(女二宿前廣場),64,24.7849,120.99964
141,HSZ6112,6112,新竹轉運站,東南街1巷6號(轉運站對面人行廣場),94,24.800896,120.973191
176,HSZ6124,6124,金山街(集福宮),金山街63號(對面公園綠地),40,24.777737,121.021936
175,HSZ9610,9610,研發二路停車場,研發二路/創新三路口(東側),36,24.77786,121.00223
125,HSZ6120,6120,經國民生路口,民生路309號(旁公園綠帶),36,24.813884,120.973992
160,HSZ6123,6123,光復關新路口,關新路21號(大樓前人行道),44,24.784875,121.01833
141,HSZ6104,6104,明志書院立體停車場,西大路317號(停車場前人行道),46,24.80167,120.96576
171,HSZ6132,6132,元培醫事科技大學,元培街306號(校門對面機車停車場),40,24.778031,120.940465
176,HSZ9607,9607,園二園三廣場,園區三路1號(對面人行道),60,24.77282,121.01019
140,HSZ6145,6145,新竹棒球場,新竹市北區民富街141號對面人行道,50,24.80778,120.96086
174,HSZ9615,9615,興業二路停車場,興業二路/研新三路口(西側),40,24.77872,120.98996
140,HSZ6140,6140,新竹和平公園,經國路三段78巷18號(對面公園人行道),34,24.79912,120.95243
142,HSZ6113,6113,新竹馬偕紀念醫院,光復路二段690號(水源街對面公園人行道),36,24.800074,120.991278
159,HSZ6134,6134,清華大學(小吃部),光復路二段101號(小吃部左側廣場),60,24.79288,120.99347
175,HSZ9602,9602,科技生活館,工業東二路1號旁人行道,100,24.78004,121.0054
158,HSZ6148,6148,清華大學(台達館),新竹市東區光復路二段101號(南側),60,24.79535,120.99197
141,HSZ6110,6110,遠東巨城購物中心,民權路171號(對面人行道),72,24.809326,120.974258
140,HSZ6107,6107,延平停車場,延平路一段159巷22號(對面機車停車格),36,24.803791,120.956616
141,HSZ6106,6106,中正北大路口,中正路146號(機車停車場),42,24.808979,120.967098
157,HSZ6117,6117,新竹教育大學,南大路560號(對面人行道),56,24.794294,120.964533
185,HSZ6130,6130,香山火車站,中華路五段347巷2弄27號(火車站前廣場),32,24.763156,120.913819
159,HSZ6115,6115,清華大學(北校門),光復路二段101號(面校門右側人行道),110,24.796842,120.996686
175,HSZ9601,9601,竹科管理局,新安路2號前人行道,50,24.78142,121.00607
159,HSZ6147,6147,交通大學(研三舍),新竹市東區交通大學綜合一館(南側出入口),60,24.7843,120.99642
141,HSZ6103,6103,新竹市政府,中央路106號(對面人行道),40,24.806138,120.96926
158,HSZ6142,6142,十八尖山(新竹高商),新竹市東區博愛街5巷2號對面停車場,40,24.79703,120.98755
154,HSZ6129,6129,三姓橋火車站,元培街32巷30號(車站出口前廣場),32,24.786994,120.92856
192,HSZ9612,9612,聯園,力行三路/力行二路口(北側),34,24.76807,121.01915
141,HSZ6102,6102,東門圓環,勝利路2號(對面圓環人行道),32,24.803866,120.970556
142,HSZ6137,6137,國賓大飯店,中華路二段188號(前人行道),32,24.80613,120.978
126,HSZ6116,6116,綠光公園,鐵道路一段28巷79號(對面公園綠帶),40,24.812458,120.985033
125,HSZ6119,6119,北區區公所,國華街69號(區公所前廣場),42,24.816444,120.970561
142,HSZ6126,6126,北新竹火車站(新竹高工),中華路二段2-1號前人行道,36,24.809629,120.983512
