grid,StationUID,StationID,StationName,StationAddress,BikesCapacity,lat,lng
140,TAO2030,2030,同德國中,南平路479號對面同德國中旁人行道,38,25.01613,121.293908
196,TAO2229,2229,成功國小,中正三街與長春路口,34,24.999511,121.306346
300,TAO2328,2328,八德埤塘自然生態公園,榮興段1483地號公園人行道,32,24.941091,121.310887
195,TAO2055,2055,桃園龍鳳公園,國豐五街51號對面龍鳳公園旁人行道,40,24.989688,121.278943
295,TAO2284,2284,龍慈龍和三街口,龍慈路與龍和三街旁路側,40,24.940105,121.243768
328,TAO2208,2208,中山親水公園,新農街80號旁公園內,32,24.909657,121.148482
293,TAO2146,2146,廣南停車場,環南路二段11號旁人行道,32,24.944913,121.208633
271,TAO2005,2005,中原大學,中北路200號(中原大學校內懷恩樓後方空地),82,24.957943,121.240201
272,TAO2105,2105,仁祥公園,華祥一街3巷2號對面人行道,38,24.948864,121.260842
270,TAO2010,2010,中壢國小,康樂路61號旁公園,46,24.954097,121.220349
91,TAO2134,2134,大湖福德宮,忠義路二段483號前方人行道,24,25.051424,121.358878
248,TAO2027,2027,內壢自強公園,強國路46號旁自強公園側人行道,50,24.967686,121.259279
56,TAO2130,2130,老街溪停車場,大觀路31巷1號旁老街溪上方停車場,36,25.064974,121.195804
222,TAO2308,2308,中山路裕和街口,中山路1306號旁人行道,34,24.980741,121.274497
221,TAO2049,2049,吉林路吉利六街口,吉林路吉利六街口東南側人行道,42,24.9829,121.250406
199,TAO2154,2154,萬壽中興路口,萬壽路二段981號對面停車場,36,24.994938,121.337264
113,TAO2258,2258,大魯閣(中正路),中正北路2巷16號對面廣場,32,25.030046,121.293195
92,TAO2364,2364,合遠新天地,華亞三路50號旁綠帶,60,25.047496,121.378891
246,TAO2007,2007,中壢區公所,環北路380號旁人行道,40,24.965697,121.224696
86,TAO2179,2179,南榮公園,南平街洛陽街口南側公園旁人行道,34,25.045165,121.291398
272,TAO2178,2178,華愛兒童公園,華愛街35號對面公園旁人行道,32,24.952303,121.259724
140,TAO2323,2323,中正莊敬路口,中正路1379號前方人行道,32,25.023593,121.294916
266,TAO2321,2321,過嶺廣場,松勤路13號對面公園,32,24.96035,121.164511
270,TAO2116,2116,中壢中央公園,建國北路9號對面公園人行道,38,24.956663,121.226195
270,TAO2003,2003,中正公園(中美路),中美路101-113號對面人行道,54,24.959113,121.224805
248,TAO2058,2058,忠孝廣場,忠孝路8-22號對面路側,50,24.972516,121.256853
42,TAO2262,2262,桃園市立圖書館山腳分館,山外路117號旁人行道,32,25.08289,121.287672
273,TAO2106,2106,篤行公園,永福路47號對面人行道,34,24.958288,121.26328
295,TAO2153,2153,龍和公園,龍和三街290號(活動中心旁公園人行道),32,24.934221,121.244805
222,TAO2127,2127,桃園龍山國小,龍祥街94號對面人行道,34,24.981988,121.271035
198,TAO2339,2339,貿商社區,自強南路自強南路301巷口,34,24.990411,121.334721
91,TAO2135,2135,中央警察大學,樹人路56號(面中央警察大學校門左側),34,25.045564,121.352319
251,TAO2128,2128,桃園假日農業創意市集,介壽路547號旁國道二號橋下空間,34,24.97422,121.302536
269,TAO2317,2317,新明國中,民族路109號對面人行道,38,24.956212,121.21231
224,TAO2025,2025,國立陽明高中,德壽街8號前方人行道,60,24.980404,121.303296
330,TAO2250,2250,瑞塘公有停車場,萬大路187號對面停車場,32,24.908548,121.179031
328,TAO2162,2162,楊梅火車站(前站),大成路256號(火車站前方人行道),50,24.913845,121.146247
351,TAO2145,2145,中豐坤慶路口,坤慶路1號前方人行道,30,24.90262,121.211817
368,TAO2238,2238,山仔頂公園,自由街57號對面公園,36,24.892175,121.20433
169,TAO2170,2170,財政部北區國稅局桃園分局,三元街150號,36,25.003782,121.320733
373,TAO2078,2078,大溪中正公園,普濟路80號旁停車場,44,24.883151,121.285453
313,TAO2166,2166,獅子林社區活動中心,大智街88號對面,34,24.928339,121.225294
168,TAO2204,2204,溫州公園,大興西路二段139巷173號旁公園人行道,36,25.008,121.29825
24,TAO2292,2292,捷運坑口站(A11),捷運坑口站(A11)出入口前,48,25.086895,121.265778
224,TAO2079,2079,忠孝兒童遊樂場,宏昌七街泰昌三街西南側廣場,58,24.986849,121.294739
190,TAO2332,2332,中壢公15公園,領航南路一段218號對面公園,32,25.000532,121.207897
315,TAO2277,2277,龍安里集會所,龍江路99號前方廣場,32,24.93149,121.25766
270,TAO2004,2004,中壢火車站(前站),中和路139號對面圓環,114,24.953874,121.2256
166,TAO2074,2074,開南大學,開南路1號(行政大樓南棟前停車場),56,25.011106,121.269685
251,TAO2088,2088,廣豐公園,公園路廣豐二街東北側人行道,40,24.966015,121.297907
250,TAO2220,2220,元聖宮,東泰街2號旁空地,34,24.96384,121.27843
373,TAO2077,2077,月眉停車場,月眉15鄰105號,50,24.889279,121.287613
162,TAO2212,2212,青塘園,洽溪路133號對面公園人行道,48,25.00641,121.20492
251,TAO2351,2351,廣豐新天地,大智路17號對面廣場,40,24.964385,121.299811
140,TAO2031,2031,桃園展演中心(同德六街),同德六街藝文二街口東南側廣場,50,25.016551,121.29997
113,TAO2311,2311,新南路一段榮興路口,新南路一段榮興路口旁人行道,34,25.041056,121.29587
87,TAO2071,2071,南崁高中,仁愛路二段1號(南崁高中旁人行道),34,25.052456,121.297856
199,TAO2271,2271,龜山中正公園,自強北路19號對面人行道,38,24.999606,121.343598
119,TAO2160,2160,國立體育大學綜合體育館,文化一路250號(國立體大體育館前馬路旁人行道),42,25.035994,121.38504
248,TAO2026,2026,夢幻公園,榮安十三街榮民路口(西南側),46,24.962541,121.261596
113,TAO2265,2265,榮興橋,南新段 948地號人行道,50,25.040756,121.294279
195,TAO2366,2366,昭揚建築(水秀公園),力行路688巷11號旁公園,32,24.99845,121.291143
170,TAO2289,2289,台北榮民總醫院桃園分院,成功路三段三聖路口旁人行道,46,25.002531,121.323988
223,TAO2244,2244,茄明里集會所,中華路27號外側人行道,36,24.986389,121.28182
223,TAO2246,2246,國豐公園,龍鳳三街65巷2號對面公園,36,24.987028,121.279348
298,TAO2242,2242,八德仁德公園,仁德路218號對面公園,32,24.935127,121.287328
62,TAO2261,2261,蘆竹區聯合辦公大樓,長安路二段與東溪路口,32,25.062955,121.280302
168,TAO2322,2322,藝文一街大興西路口,藝文一街6號對面廣場,50,25.013286,121.301557
199,TAO2067,2067,龜山國中,自強西路66號前方人行道,36,24.997536,121.339485
198,TAO2184,2184,陸光河濱公園,同心二路19號對面公園內人行道,58,24.99485,121.330472
293,TAO2090,2090,廣仁公園,廣南路168號對面公園旁人行道,36,24.939478,121.206413
162,TAO2100,2100,捷運高鐵桃園站(A18),高鐵北路一段6號(對面捷運站出口外側人行道),62,25.013775,121.213932
269,TAO2248,2248,義興公園,義興街55號對面公園人行道,32,24.949106,121.209494
244,TAO2001,2001,中央大學圖書館,中大路300號(中央大學校內圖書館前),60,24.968128,121.194666
171,TAO2095,2095,璟都江山社區,光峰路131巷6號前方人行道,32,25.0023,121.342803
137,TAO2138,2138,大竹國小,南竹路五段271號對面人行道,38,25.024481,121.259057
93,TAO2124,2124,樂善公園,文安街50號(對面公園北側巷道),36,25.055461,121.380587
195,TAO2169,2169,風禾公園,文中二路慈文路口東北側人行道,40,25.000991,121.289893
272,TAO2302,2302,普忠榮民南路口,普忠路1168號前人行道,32,24.949502,121.256339
68,TAO2215,2215,文化花園夜市,龜山一路168號旁公園,34,25.064312,121.365578
169,TAO2047,2047,大有國中,大有路民光東路口西北側人行道,48,25.008585,121.319869
87,TAO2072,2072,蘆竹區婦幼館,五福路88號對面婦幼館人行道,36,25.050733,121.293711
246,TAO2102,2102,捷運環北站(A21),中豐北路26號旁人行道,40,24.967563,121.220967
246,TAO2018,2018,中壢區聯合辦公大樓,溪洲街298號前方人行道,38,24.962068,121.230027
270,TAO2222,2222,老街溪河川教育中心,中原路58號前方人行道,36,24.953739,121.21856
269,TAO2092,2092,平鎮區婦幼館,廣成街10號對面路側,38,24.956269,121.208551
119,TAO2119,2119,文青路,文青路199號前方人行道,36,25.040189,121.388379
246,TAO2059,2059,忠福廣場,南園二路292號對面忠福廣場旁人行道,40,24.971805,121.227697
238,TAO2276,2276,新福二路大仁街口,新福二路/大仁街路口旁人行道,30,24.970672,121.105909
284,TAO2210,2210,伯公岡公園,民生街101號對面公園,36,24.938531,121.084646
355,TAO2252,2252,仁和國小,仁和二街50號旁人行道,30,24.897638,121.276781
140,TAO2239,2239,桃園區南平運動中心,南平路23號對面人行道,42,25.021357,121.306156
269,TAO2327,2327,平鎮平興國中,育達路二段102號對面人行道,44,24.950435,121.205398
299,TAO2283,2283,八德楓樹腳公園,介壽路二段931號對面公園,40,24.935287,121.297258
225,TAO2024,2024,桃園建國公園,桃鶯路93號對面建國公園旁人行道,38,24.987418,121.317759
171,TAO2209,2209,楓樹公園,楓樹一街19號對面公園,42,25.00465,121.34496
271,TAO2310,2310,環中東實踐路口,環中東路776號前人行道,40,24.953682,121.243344
268,TAO2216,2216,平鎮魚形公園,清泉街49-53號旁公園內,30,24.95796,121.19022
225,TAO2353,2353,桃園建國國小,昆明路120號對面人行道,46,24.983616,121.31578
169,TAO2046,2046,大業國小,民光東路280號對面人行道,42,25.006896,121.31476
251,TAO2300,2300,桃智路廣豐三街口,桃智路31號前外側人行道及路側,32,24.964802,121.295471
135,TAO2172,2172,大園國際高中,大成路二段37號對面人行道,60,25.020834,121.220506
314,TAO2234,2234,龍岡大操場,龍岡路三段游泳路口旁公園人行道,36,24.930164,121.239605
