StationName,StationAddress,BikesCapacity,lat,lng
文藻外語大學站,獅湖國小側門人行道（位於鼎中路上）,24,22.67117,120.320951
莊敬公園站,明誠一路與大園街交叉路口左近人行道(臨明誠一路上),18,22.659621,120.324749
高雄高工站,雄工側門臨中華電信機房,8,22.650378,120.325634
鼎金國小站,大昌一路，面對鼎金國小側門左側人行道上,12,22.656168,120.322775
高雄國際機場站,高雄國際機場站1號出口前;高雄公園中山四路上,18,22.569418,120.343726
左營高中站,海功路上，左營高中校門口,0,22.693598,120.295864
蓮潭會館站,蓮潭會館左側AC路面,26,22.677816,120.299942
高鐵左營站,高鐵站大門前3塊人行道上,26,22.686674,120.308278
孔廟站,31號公園人行道(臨孔營路),24,22.688085,120.297361
草衙站,捷運草衙站1號出口前,18,22.579527,120.329016
佛公國小站,后平路與佛德路交叉路口,52,22.573815,120.320044
海洋局站,漁港中二路與漁港東二路交叉路口,28,22.57217,120.317475
二聖公園站,光華二路及英德街交叉路口,10,22.61385,120.318304
福誠高中站,位於五甲三路上，福誠高中側門旁臨媽祖港橋的空地上,46,22.589048,120.322925
道明中學站,建國一路上，道明中學與聖功醫院中間空地,12,22.633129,120.323558
英明公園站,英明路上，英明公園近英明國中側,24,22.616351,120.324878
四維公園站,自強路與四維路交叉路口附近,12,22.615717,120.299094
正修大學站,面對正修科大校門口右側,12,22.650698,120.3488
南華市場站,美麗島站7號出口前人行道,6,22.631456,120.303227
郵政總局站,美麗島站6號出口前人行道,6,22.631089,120.304429
民族八德站,民族一路與八德路交叉路口(臨民族一路上),12,22.635323,120.313318
高雄大學站,高雄大學路與大學南路交叉口,20,22.732634,120.284253
中山高中站,藍昌路與藍田路交叉路口,10,22.727406,120.292047
龍華國小站,大順一路與南屏路交叉路口左近人行道(位於南屏路),28,22.655851,120.299933
高科大旗津校區站(1),位於中洲三路上，面對校門口之左側,14,22.608252,120.272264
巨蛋站(2),面對原站址右側擴充,2,22.666014,120.303262
後驛站(2),面對原站址左側擴充,16,22.647866,120.303345
高雄醫學大學站(2),面對原站址左側擴充,2,22.649398,120.309879
中央公園站(2),面對原站址右側擴充,22,22.624214,120.300923
高雄女中站(2),面對原站址左側擴充,10,22.620733,120.293601
三多站(2),面對原站址左側擴充,14,22.614432,120.304416
市府四維站(2),面對原站址左側擴充,6,22.620097,120.311969
文化中正站(2),面對原站址左側擴充,4,22.629797,120.318221
文化師大站(2),面對原站址右側擴充,14,22.625373,120.319594
光華公園站(2),面對原站址右側擴充,4,22.608306,120.316265
高科大旗津校區站(2),位於中洲三路上，面對校門口之右側,28,22.608217,120.272334
鳳新高中站,高雄市鳳山區新富路257號‎(鳳新高中旁),0,22.61302,120.343262
前鎮高中站,R5前鎮高中站1號出口對面，翠亨北路上,24,22.588154,120.32193
美術館馬卡道站,兒童美術館立體停車場前平面停車格（可由美術館路上近龍水路停車場入口進入）,34,22.65495,120.283089
福山廣場站,文川路上，重義路與重愛路中間,36,22.685999,120.314104
阿公店水庫站,阿公店水庫大門口右側停車場,24,22.801439,120.357113
澄清湖站(2),澄清湖兒童園區停車場內,28,22.658443,120.346107
寶業里滯洪池站,寶業里滯洪池控制中心前，褒揚東街上,40,22.639959,120.346333
陽明溜冰場站,陽明溜冰場前，義華路上,10,22.643133,120.339539
義民廟站,三民義民廟旁，壽昌路91巷與壽昌路口,26,22.642492,120.333667
鼎泰廣場站,鼎瑞街與裕誠路口,28,22.663888,120.315002
平和停車場站,平和停車場後方，平和五路與平和路口,30,22.562743,120.335459
小港區公所站,小港區公所前方，小港路上,26,22.565069,120.338391
大寮區公所站,大寮區公所內，臨鳳林三路,16,22.605399,120.395458
和春技術學院站(1),和春技術學院大發校區內，臨農場路,26,22.60608,120.427392
和春技術學院站(2),和春技術學院大寮分校前，信義路上,46,22.633877,120.392021
捷運大寮站,OT1大寮站1號出口，臨捷西路,8,22.621312,120.390423
