StationID,StationName,lat,lng,StationAddress,StationClass
1194,六家,24.80751,121.03921,30273新竹縣竹北市隘口里復興三路二段 229 號,4
1000,臺北,25.04771,121.51784,100臺北市中正區黎明里北平西路 3 號,0
4380,鼓山,22.64169,120.28071,80445高雄市鼓山區鐵路街20巷6號,4
6210,豐田,23.84836,121.49619,97451花蓮縣壽豐鄉豐山村站前街 36 號,4
7170,中里,24.69415,121.77526,26844宜蘭縣五結鄉中興村台興路 10 號,5
1230,香山,24.76321,120.91391,30094新竹市 香山區朝山里中華路五段 347 巷 2 弄 27 號,2
3470,斗六,23.71157,120.54117,64050雲林縣斗六市信義里民生路 187 號,1
7300,貢寮,25.02209,121.90867,22843新北市貢寮區貢寮里朝陽街 33 號,4
4110,後壁,23.36626,120.36058,73143臺南市後壁區後壁里後壁 77 號,4
6220,壽豐,23.86901,121.51064,97442花蓮縣壽豐鄉壽豐村壽山路 1 號,3
1201,上員,24.77797,121.05554,310新竹縣竹東鎮上員里光明路 (無站房),5
7210,礁溪,24.82705,121.77523,26248宜蘭縣礁溪鄉德陽村溫泉路 1 號,3
7000,花蓮,23.99264,121.60158,97055花蓮縣花蓮市國聯里國聯一路 100 號,0
3435,水里,23.81844,120.85333,55353南投縣水里鄉水里村民生路 440 號,4
7070,漢本,24.33541,121.76827,27247宜蘭縣南澳鄉澳花村蘇花路一段 56 號,3
4130,柳營,23.27762,120.32252,73657臺南市柳營區東昇里建國路 1 號,4
6010,山里,22.86194,121.13778,95443臺東縣卑南鄉嘉豐村山里路 108 號,3
1150,北湖,24.92191,121.05586,30371新竹縣湖口鄉東興村北湖路 1 號,4
4080,嘉義,23.47902,120.44124,60041嘉義市 西區番社里中山路 528 號,1
6170,萬榮,23.71199,121.41907,97543花蓮縣鳳林鎮長橋里長德街 17 號,3
5090,林邊,22.43141,120.51538,92744屏東縣林邊鄉仁和村仁愛路 33 號,3
7270,大里,24.96682,121.92251,26145宜蘭縣頭城鎮大里里濱海路六段 326 號,4
3210,泰安,24.33146,120.74181,42156臺中市后里區泰安里安眉路 37 之 12 號,4
7335,平溪,25.02552,121.73994,22641新北市平溪區平溪里中華街 12 號,4
7020,景美,24.09039,121.61103,97243花蓮縣秀林鄉景美村加灣 178 之 1 號,4
5030,西勢,22.61661,120.52677,91142屏東縣竹田鄉西勢村西豐路 2 號,3
7040,崇德,24.17111,121.65555,97253花蓮縣秀林鄉崇德村海濱路 96 號,3
1208,內灣,24.70526,121.18247,31243新竹縣橫山鄉內灣村中正路 6 號,3
5160,枋山,22.26677,120.65968,94350屏東縣獅子鄉內獅村內獅巷 84 號,5
1070,鶯歌,24.95432,121.35535,23942新北市鶯歌區東鶯里文化路 68 號,2
7180,二結,24.70529,121.77411,26843宜蘭縣五結鄉五結中路三段658巷8號,3
1110,埔心,24.91945,121.18366,32653桃園市楊梅區埔心里永美路 208 號,3
7350,猴硐,25.08697,121.82749,22446新北市瑞芳區光復里柴寮路 70 號,3
5070,南州,22.49203,120.51159,92643屏東縣南州鄉仁里村仁里路 86 號,3
3240,栗林,24.23481,120.71069,427臺中市潭子區潭豐路二段747號,4
0930,七堵,25.09294,121.71415,20646基隆市七堵區長興里東新街 2 號,1
5230,知本,22.71008,121.06128,95093臺東縣臺東市知本里知本路二段 900 巷 85 號,3
5220,太麻里,22.61879,121.00505,96346臺東縣太麻里鄉大王村站前路 2 號,3
6150,大富,23.60572,121.38969,97644花蓮縣光復鄉大富村明德路 1 號,5
4430,正義,22.63425,120.34245,807高雄市三民區建軍里正義路 308 巷,4
3310,五權,24.12877,120.66644,402臺中市南區建國南路二段201號		,4
0960,汐止,25.06894,121.66244,22166新北市汐止區信望里信義路 1 號,2
4300,路竹,22.85404,120.26619,82146高雄市路竹區竹南里中正路 288 號,3
5120,枋寮,22.36786,120.59501,94043屏東縣枋寮鄉枋寮村儲運路 18 號,3
3434,集集,23.82653,120.78491,55241南投縣集集鎮吳厝里民生路 75 號,5
