grid,StationUID,StationID,StationName,StationAddress,BikesCapacity,lat,lng
474,TPE0103,0103,萬華車站,艋舺大道83號(對側),60,25.033639,121.503028
441,TPE0326,0326,基隆路一段101巷口,基隆路一段 / 基隆路一段101巷口(東南側),30,25.04525,121.56709
478,TPE0312,0312,捷運信義安和站(1號出口),信義路四段 / 安和路一段口(東北側),34,25.033323,121.552787
324,TPE0167,0167,臺北市立天文館,基河路363號前(鄰近台北市立天文科學教育館/國立台灣科學教育館),50,25.095714,121.518046
405,TPE0044,0044,捷運南港軟體園區站(2號出口),捷運南港軟體園區站2號出口外,36,25.05973,121.616187
557,TPE0104,0104,台北花木批發市場,萬盛街/興隆路一段(西北側),38,25.004023,121.54074
441,TPE0291,0291,捷運松山站(3號出口),松山路/市民大道六段(西北側捷運3號出口)(鄰近饒河街夜市/彩虹橋),50,25.049616,121.577459
287,TPE0134,0134,捷運芝山站(2號出口),福華路/福華路162巷(東南側),64,25.10336,121.522629
439,TPE0373,0373,中崙福成宮,市民大道四段63號(鄰近微風廣場/黑松世界),32,25.04525,121.546635
650,TPE0144,0144,國立政治大學,萬壽路16巷6號前(鄰近國立政治大學),58,24.988363,121.576536
479,TPE0001,0001,捷運市政府站(3號出口),忠孝東路/松仁路(東南側),180,25.0408578889,121.567904444
516,TPE0126,0126,敦化基隆路口,敦化南路二段/基隆路二段交叉口,30,25.022073,121.548336
403,TPE0358,0358,新明成功路口,新明路/成功路二段口(西南側),30,25.06058,121.5911
438,TPE0100,0100,金山市民路口,金山北路/市民大道三段(南側)(鄰近華山文化創意產業園區/光華數位新天地(光華商場)/三創生活園區),40,25.045753,121.530697
287,TPE0398,0398,聯合醫院陽明院區,雨聲街105號(南側),30,25.104546,121.531949
404,TPE0402,0402,下灣公園,民權東路六段206巷 / 民權東路六段190巷75弄口,28,25.065159,121.595611
603,TPE0142,0142,捷運木柵站,木柵路四段82巷18號前(捷運橋樑下),52,24.997996,121.57444
368,TPE0192,0192,捷運葫洲站(1號出口),康寧路三段/成功路五段450巷21弄(西北側)(捷運葫洲站1號出口前自行車停放區),44,25.072485,121.607955
517,TPE0093,0093,吳興公車總站,松仁路/吳興街交叉口,56,25.023877,121.569836
366,TPE0269,0269,三軍總醫院,成功路二段/成功路二段323巷東北角人行道(鄰近防災科學教育館),30,25.070723,121.590304
515,TPE0350,0350,復興南路二段128巷口,復興南路二段144-3號前方,32,25.02904,121.54336
326,TPE0263,0263,至善臨溪路口,至善路一段/臨溪路(東南側),38,25.097103,121.542153
477,TPE0354,0354,建國濟南路口,建國南路一段/濟南路三段口(東南側),28,25.040033,121.538084
650,TPE0262,0262,永安藝文館-表演36房,木新路二段156號前人行道(永安市場),28,24.984144,121.569064
479,TPE0006,0006,臺北南山廣場,松智路/松廉路(東北側) (鄰近台北101/信義商圈/台北信義威秀影城),80,25.034047,121.565973
213,TPE0117,0117,捷運北投站,光明路2巷/光明路交叉口(鄰近北投親子館),58,25.132581,121.498618
516,TPE0225,0225,臥龍樂業街口,臥龍街267號對面人行道(臥龍樂業街口),40,25.0186,121.554839
514,TPE0399,0399,和平龍泉街口,和平東路一段178號(前側)(鄰近臺灣師範大學),34,25.026404,121.52946
211,TPE0233,0233,捷運忠義站,中央北路四段262號對面人行道,50,25.131411,121.474155
480,TPE0016,0016,松山家商,林口街/福德街(東南側),48,25.036084,121.579135
650,TPE0335,0335,景文中學,保儀路/木柵路三段102巷口(西南側),32,24.986301,121.567855
441,TPE0308,0308,西松高中,健康路325巷 / 健康路325巷12弄口(東北側),30,25.055672,121.567127
327,TPE0110,0110,文湖國小,文湖街21巷/文湖街(東北側),44,25.086376,121.560888
325,TPE0284,0284,華聲公園,華聲街17號南側路側(全聯),44,25.096166,121.522096
437,TPE0139,0139,永樂市場,民樂街/南京西路233巷(西北側)(鄰近迪化街/永樂市場(永樂布業商場)/霞海城隍廟),38,25.054501,121.510549
438,TPE0351,0351,中山青島路口,中山南路 / 青島東路口東北側,38,25.04469,121.51954
287,TPE0341,0341,捷運芝山站(1號出口),文林路 / 福華路口(東側),38,25.10094,121.52243
367,TPE0374,0374,麗湖國小,金湖路363巷5號對側,34,25.073322,121.602225
475,TPE0275,0275,西本願寺廣場,中華路一段/長沙街二段路口西南側人行道(西本願寺)(鄰近國軍歷史文物館/中山堂/西門紅樓),58,25.040988,121.507688
286,TPE0148,0148,捷運明德站,致遠一路一段46巷/西安街一段(東南側),68,25.110331,121.518316
478,TPE0075,0075,基隆光復路口,基隆路二段/光復南路(東北側)(鄰近通化夜市),30,25.0300508,121.557635
512,TPE0257,0257,錦德公園,德昌街243號對面公園(錦德公園),34,25.023316,121.492637
365,TPE0159,0159,捷運西湖站(1號出口),環山路一段9巷/內湖路一段285巷(西南側),36,25.082866,121.566695
479,TPE0009,0009,松德站,台北市信義區松德路300號,40,25.031785,121.57448
213,TPE0161,0161,大豐公園,磺港路/大興街(東北側),56,25.131143,121.503768
441,TPE0028,0028,五常公園,松隆路/虎林街30巷口(西南側),32,25.04814,121.57467
325,TPE0152,0152,百齡國小,前港街100巷/前港街(北方),40,25.08521,121.519175
361,TPE0177,0177,葫蘆國小,環河北路三段/葫蘆街(東北側),40,25.082538,121.507495
440,TPE0255,0255,光復南路22巷口,光復南路23號對面人行道,30,25.046914,121.557674
601,TPE0315,0315,捷運萬隆站(1號出口),羅斯福路五段 / 羅斯福路五段236巷口(南側),38,25.001447,121.539037
329,TPE0305,0305,碧山公園,內湖路三段60巷8弄1號(東南側),46,25.087413,121.592253
512,TPE0065,0065,青年公園3號出口,青年路/青年路106巷(東側)(鄰近青年公園),38,25.022725,121.502708
437,TPE0229,0229,市民太原路口,鄭州路23號東側人行道(市民太原路口)(鄰近台北地下街/台北車站),34,25.049394,121.514611
513,TPE0285,0285,螢橋國小,泉州街32號對面人行道(螢橋國小),40,25.025966,121.51377
