grid,StationUID,StationID,StationName,StationAddress,BikeAllowOnHoliday,lat,lng
479,TRTC-BL18,BL18,市政府,11071臺北市信義區忠孝東路5段2號,True,25.041135,121.565685
478,TRTC-R04,R04,信義安和,10681臺北市大安區信義路4段212之1號B1,True,25.033015,121.552326
510,TRTC-BL08,BL08,新埔,22047新北市板橋區民生路3段2號B1,True,25.02327,121.468055
475,TRTC-G12,G12,西門,10042臺北市中正區寶慶路32之1號B1,True,25.042025,121.508175
477,TRTC-BL15,BL15,忠孝復興,10691臺北市大安區忠孝東路4段47號,False,25.041749,121.545026
475,TRTC-BL11,BL11,西門,10042臺北市中正區寶慶路32之1號B1,True,25.042025,121.508175
479,TRTC-R03,R03,台北101/世貿,11049臺北市信義區信義路5段20號B1,True,25.032865,121.563667
397,TRTC-O14,O14,菜寮,24143新北市三重區重新路3段150號B1 ,True,25.059451,121.491421
475,TRTC-G10,G10,中正紀念堂,10074臺北市中正區羅斯福路1段8之1號B1  ,True,25.032767,121.518273
401,TRTC-BR13,BR13,松山機場,10576臺北市松山區敦化北路338號,False,25.062908,121.55201
365,TRTC-BR16,BR16,西湖,11493臺北市內湖區內湖路1段256號,False,25.08216,121.567227
477,TRTC-R06,R06,大安森林公園,10656臺北市大安區信義路3段100號B1,True,25.033225,121.536151
405,TRTC-BR23,BR23,南港軟體園區,11568臺北市南港區經貿二路183號,False,25.05992,121.615
479,TRTC-R02,R02,象山,11080臺北市信義區信義路5段152號B1,True,25.032395,121.570116
362,TRTC-R14,R14,圓山,10367臺北市大同區酒泉街9之1號,True,25.071409,121.520074
248,TRTC-R19,R19,石牌,11271臺北市北投區石牌路1段200號,True,25.114455,121.515572
470,TRTC-O19,O19,輔大,24205新北市新莊區中正路510之1號B1,True,25.03279,121.435735
438,TRTC-G15,G15,松江南京,10457臺北市中山區松江路126號B1,True,25.052693,121.53285
211,TRTC-R24,R24,忠義,11257臺北市北投區中央北路4段301號,True,25.130923,121.473298
444,TRTC-BR24,BR24,南港展覽館,11568臺北市南港區南港路1段32號,False,25.054919,121.616861
507,TRTC-O20,O20,丹鳳,24256新北市新莊區中正路624之1號B1,True,25.029073,121.422422
516,TRTC-BR06,BR06,麟光,10676臺北市大安區和平東路3段410號,False,25.018495,121.558834
648,TRTC-G03,G03,七張,23143新北市新店區北新路2段150號,True,24.97545,121.542985
477,TRTC-BR09,BR09,大安,10683臺北市大安區信義路4段2號,False,25.033311,121.54237
726,TRTC-BL01,BL01,頂埔,23671新北市土城區中央路4段51-6號B3,True,24.96012,121.4205
437,TRTC-R10,R10,台北車站,10041臺北市中正區忠孝西路1段49號,False,25.04631,121.517415
441,TRTC-G18,G18,南京三民,10569臺北市松山區南京東路5段237號,True,25.051588,121.56471
551,TRTC-BL06,BL06,府中,22055新北市板橋區縣民大道1段193號B1,True,25.008465,121.459276
439,TRTC-BR11,BR11,南京復興,10550臺北市松山區南京東路3段253號,True,25.052044,121.544303
687,TRTC-BL02,BL02,永寧,23671新北市土城區中央路3段105號B1,True,24.96682,121.43613
327,TRTC-BR15,BR15,劍南路,10464臺北市中山區北安路798號,False,25.08483,121.555582
434,TRTC-O16,O16,先嗇宮,24158新北市三重區重新路5段515號B1,True,25.04632,121.47165
478,TRTC-BL16,BL16,忠孝敦化,10686臺北市大安區忠孝東路4段182號,True,25.041505,121.55045
438,TRTC-O08,O08,松江南京,10457臺北市中山區松江路126號B1,True,25.052693,121.53285
213,TRTC-R21,R21,奇岩,11270臺北市北投區三合街2段489號,True,25.12547,121.50114
359,TRTC-O51,O51,三和國中,24152新北市三重區三和路4段107號B1,True,25.07646,121.486795
325,TRTC-R16,R16,士林,11163臺北市士林區福德路1號,True,25.093492,121.52623
648,TRTC-G04,G04,大坪林,23143新北市新店區北新路3段190號,True,24.98272,121.54134
476,TRTC-BL14,BL14,忠孝新生,10652臺北市大安區新生南路1段67號,True,25.042498,121.53321
437,TRTC-G13,G13,北門,10341臺北市大同區塔城街10號,True,25.049554,121.510184
552,TRTC-BL07,BL07,板橋,22041新北市板橋區站前路5號B1,True,25.013825,121.462305
471,TRTC-O18,O18,新莊,24243新北市新莊區中正路138號B1,True,25.03608,121.45218
475,TRTC-R09,R09,台大醫院,10048臺北市中正區公園路52號B1,True,25.041399,121.51602
443,TRTC-BL21,BL21,昆陽,11558臺北市南港區忠孝東路6段451號,True,25.050459,121.593228
363,TRTC-BR14,BR14,大直,10465臺北市中山區北安路534之1號,False,25.07943,121.54679
555,TRTC-O03,O03,永安市場,23574新北市中和區中和路388號,True,25.002895,121.511225
435,TRTC-O15,O15,三重,24161新北市三重區捷運路36號B1,True,25.05571,121.48422
