grid,StopUID,AuthorityID,Bearing,City,StationID,StopAddress,StopName,lat,lng
328,TAO13657,006,none,Taoyuan,none,none,楊梅區公所,24.907467,121.145683
295,TAO207,006,none,Taoyuan,none,none,金鋒市場,24.946243,121.246598
222,TAO13546,006,none,Taoyuan,none,none,桃園醫院門診中心,24.977221,121.268238
195,TAO2256,006,none,Taoyuan,none,none,國際路二段,24.994392,121.288033
403,TAO15467,006,none,Taoyuan,none,none,琪富,24.84378,121.28341
412,TAO15431,006,none,Taoyuan,none,none,承恩,24.82745,121.29866
198,TAO17788,006,none,Taoyuan,none,none,同心二路,24.995832,121.330189
91,TAO63190,006,none,Taoyuan,none,none,大崗國小,25.05418,121.35936
312,TAO5202,006,none,Taoyuan,none,none,李屋,24.929317,121.213751
87,TAO17626,006,none,Taoyuan,none,none,頂南崁,25.04321,121.29852
257,TAO12775,006,none,Taoyuan,none,none,大坡(二),24.95937,121.03933
295,TAO4195,006,none,Taoyuan,none,none,龍仁龍泉街口,24.93604,121.23347
217,TAO62805,006,none,Taoyuan,none,none,仁德新村,24.98169,121.1942
101,TAO63620,006,none,Taoyuan,none,none,樹林,25.03831,121.12908
85,TAO17163,006,none,Taoyuan,none,none,蘆竹國小,25.05051,121.26661
109,TAO63646,006,none,Taoyuan,none,none,游厝,25.02905,121.24398
188,TAO44331,006,none,Taoyuan,none,none,大崙,24.989057,121.179648
317,TAO14718,006,none,Taoyuan,none,none,崙子路口,24.93326,121.28643
313,TAO13822,006,none,Taoyuan,none,none,關爺北路36巷,24.93172,121.21818
125,TAO63780,006,none,Taoyuan,none,none,萬欣,25.0211,121.07142
251,TAO57388,006,none,Taoyuan,none,none,陸光四村,24.962241,121.300018
101,TAO63594,006,none,Taoyuan,none,none,富林橋,25.036,121.11604
62,TAO2861,006,none,Taoyuan,none,none,長榮南山路口,25.05716,121.28862
85,TAO64310,006,none,Taoyuan,none,none,蘆竹,25.0495,121.26601
67,TAO18049,006,none,Taoyuan,none,none,大湖國小,25.05797,121.36015
200,TAO62956,006,none,Taoyuan,none,none,福源國小,24.98839,121.35805
98,TAO63715,006,none,Taoyuan,none,none,燈塔,25.03638,121.07925
180,TAO63890,006,none,Taoyuan,none,none,員笨,24.995825,121.06346
314,TAO64809,006,none,Taoyuan,none,none,供應站,24.92622,121.24532
