grid,StationUID,StationID,StationName,StationAddress,BikesCapacity,lat,lng
407,TXG3101,3101,環河公園,永隆六街/爽文路口,30,24.11269,120.67397
363,TXG3242,3242,犁頭店公園,惠中路三段/大墩四街口,40,24.14234,120.64057
302,TXG3269,3269,高登公園,重慶路/漢成街口,28,24.17106,120.66571
305,TXG3248,3248,軍福公園,軍福十九路/軍榮五街口,30,24.18006,120.71491
442,TXG3197,3197,青年公園,公園街/公園街421巷口,30,24.08492,120.69363
196,TXG3075,3075,豐原高商,圓環南路/中山路口,46,24.24529,120.71382
320,TXG3136,3136,潮洋環保公園,朝貴路/市政北二路口,40,24.16592,120.63337
363,TXG3158,3158,萬和國中,文心南三路/豐安街口,36,24.13354,120.63961
282,TXG3231,3231,823紀念公園,崇德九路/昌平東二路口,36,24.18695,120.68786
387,TXG3073,3073,永興公園,工學路/工學一街口,46,24.11674,120.66488
261,TXG3296,3296,潭子環保公園,合作街38巷/合作街38巷76弄口,30,24.20462,120.70885
386,TXG3099,3099,中山醫學大學,建國北路一段/文心南路口,46,24.12212,120.65271
175,TXG3081,3081,豐原廟東夜市,中正路212巷/信義街口,36,24.25259,120.71864
346,TXG3098,3098,宜昌兒童公園,十甲路615號對面,30,24.14442,120.71322
368,TXG3181,3181,旱溪停車場,旱溪街/德興一街口,30,24.14082,120.70916
364,TXG3195,3195,崇倫國中,忠明南路/ 南屯路一段口(崇倫公園南側入口處),30,24.13259,120.65741
196,TXG3087,3087,豐原地政事務所,西安街/興安街口,36,24.24903,120.71441
367,TXG3265,3265,新建國市場(1號門),樂業二路/建成路口,32,24.13496,120.69581
402,TXG3245,3245,旭光國小,健行路/榮泉路口,30,24.11109,120.59415
175,TXG3190,3190,豐原國中,三豐路一段/豐北街口,40,24.26123,120.71971
325,TXG3040,3040,北屯兒童公園,興安路一段/北平路四段口,40,24.170187,120.694267
363,TXG3025,3025,五權西文心路口,五權西路二段/文心路一段路口,42,24.139937,120.646885
345,TXG3041,3041,力行國小,力行路/進化路口,50,24.151573,120.693931
408,TXG3128,3128,環保公園,德芳路二段/永大街口,34,24.10456,120.67967
326,TXG3146,3146,太原停車場,太原路三段/建和路一段路口,28,24.16264,120.72146
105,TXG3218,3218,高美濕地第二停車場,臨港路六段100號(北側),38,24.2956,120.5441
345,TXG3068,3068,新福公園,旱溪東路二段/中山路四段口,30,24.15089,120.70139
