公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態,lat,lng,市鎮鄉村里,area1,area2,area3
22555003,統一超商股份有限公司,97171444,新竹市第２４分公司,新竹市建新路26號,1,24.7981294,120.9966758,台灣新竹市東區軍功里,新竹市,東區,軍功里
22555003,統一超商股份有限公司,97172274,桃園縣第８１分公司,桃園市蘆竹區南崁里新南路二段１０１號,3,25.0342219,121.300382,台灣桃園市蘆竹區南崁里,桃園市,蘆竹區,南崁里
22555003,統一超商股份有限公司,97172289,桃園縣第８２分公司,桃園市桃園區大有路560號,1,25.0141144,121.3180212,台灣桃園市桃園區大有里,桃園市,桃園區,大有里
22555003,統一超商股份有限公司,97172416,台北縣第３３分公司,臺北縣樹林鎮中正路１０５號,3,25.0011025,121.4247622,台灣新北市樹林區潭底里,新北市,樹林區,潭底里
22555003,統一超商股份有限公司,97172422,高雄巿第１２３分公司,高雄市苓雅區正言里大順三路七十六號,1,22.631352,120.324599,台灣高雄市苓雅區正言里,高雄市,苓雅區,正言里
22555003,統一超商股份有限公司,97172529,新竹市第２５分公司,新竹市新竹市食品路146號,1,24.797568,120.9768,台灣新竹市東區東山里,新竹市,東區,東山里
22555003,統一超商股份有限公司,97172582,台北市第２０３分公司,臺北市松山區八德路四段321號,1,25.0492992,121.5671226,台灣台北市松山區新聚里,台北市,松山區,新聚里
22555003,統一超商股份有限公司,97172598,台北市第２２０分公司,臺北市內湖區內湖路三段60巷1弄2-1號,3,25.0862172,121.5922618,台灣台北市內湖區碧山里,台北市,內湖區,碧山里
22555003,統一超商股份有限公司,97173055,高雄巿第９９分公司,高雄市三民區精華里博愛一路１號,3,22.6414347,120.3024723,台灣高雄市三民區精華里,高雄市,三民區,精華里
22555003,統一超商股份有限公司,97173061,高雄巿第１１８分公司,高雄市鼓山區華榮路２３６號,3,22.6646349,120.2971564,台灣高雄市鼓山區明誠里,高雄市,鼓山區,明誠里
22555003,統一超商股份有限公司,97173359,桃園縣第４分公司,桃園市龜山區復興一路86號,1,25.0595282,121.3683543,台灣桃園市龜山區文化里,桃園市,龜山區,文化里
22555003,統一超商股份有限公司,97173365,桃園縣第２８分公司,桃園市平鎮區環南路２３１–５號,1,24.9515207,121.2068918,台灣桃園市平鎮區廣達里,桃園市,平鎮區,廣達里
22555003,統一超商股份有限公司,97173371,屏東縣第２０分公司,屏東縣新園鄉南興路３１９號,1,22.4917176,120.4590468,台灣屏東縣新園鄉興龍村,屏東縣,新園鄉,興龍村
22555003,統一超商股份有限公司,97173386,桃園縣第８３分公司,桃園市桃園區中正路１０６９號,3,25.0162855,121.2981777,台灣桃園市桃園區同德里,桃園市,桃園區,同德里
22555003,統一超商股份有限公司,97173652,台南市第８７分公司,臺南市中西區光賢里西和路三號,1,23.0014986,120.1905082,台灣台南市中西區協和里,台南市,中西區,協和里
22555003,統一超商股份有限公司,97174272,台北縣第７２分公司,新北市板橋區國光路65號,1,25.0182578,121.4590025,台灣新北市板橋區國光里,新北市,板橋區,國光里
