NAME,ADDRESS,CAR_NUM,MOTOR_NUM,lat,lng
壢新停車場,桃園市平鎮區廣泰路75號,250,0,24.9470753,121.2055572
八德區公有廣停一停車場,八德區廣福路42號,207,0,24.9588985,121.2981384
呂萬和停車場,八德市華興段864號,43,0,24.9626789,121.3040669
Times八德中路街停車場,桃園市八德區中路街21號,49,0,24.9615891,121.2940698
橋頭停車場,大溪區栗子園大溪橋旁堤外高灘地及堤內防汛道路號,584,0,24.8851019,121.2826078
兩蔣文化園區慈湖遊客中心暨慈湖廣場附屬停車場,大溪區復興路一段1097號,208,0,24.8403651,121.2942711
公所前停車場,大溪鎮普濟路與得勝路交叉口號,56,0,24.8807168,121.2872311
南崁公一地下停車場,蘆竹區仁愛路一段2號,586,0,25.0508645,121.2935354
大新平面停車場,蘆竹區大新路與大新一街交叉口(大新路43號,28,0,25.0247862,121.2568622
台茂購物中心停車場,蘆竹區南崁路一段112號,2585,1615,25.0536603,121.2885645
特力家居停車場,蘆竹鄉中正路1號,516,0,25.0401823,121.2947327
HVW經國方略商辦大樓停車場,桃園市蘆竹區經國路908號,30,0,25.0336318,121.3010061
W1停車場,蘆竹鄉忠孝東路52及56號,135,175,25.0454146,121.2948158
長庚醫院復健停車場,桃園市龜山區復興街5-6號,704,400,25.0616876,121.3675081
桃園長庚紀念醫院停車場,桃園市龜山區舊路里頂湖路123號,1166,330,25.030638,121.366919
長庚醫院病理停車場,桃園市龜山區復興街5號,588,0,25.0605178,121.3684133
瑞樺企業停車場,桃園縣龜山鄉舊路村8鄰振興路749巷1弄19號,33,0,25.017807,121.3611365
嘟嘟房中正旗艦站,桃園市大園區竹圍里三民路一段806號,4558,0,25.0918784,121.2511423
華航大飯店股份有限公司停車場(台北諾富特華航桃園機場飯店),桃園市大園區航站南路1-1號,76,0,25.068878,121.2213277
揚順停車場,桃園市大園區竹圍里航翔路5號,114,264,25.09368,121.25455
新屋區第一公有零售市場附設停車場,新屋區中山路370號,67,0,24.9728844,121.1041169
小烏來停車場,復興鄉義盛村1鄰下宇內4-10號,38,0,24.7906361,121.3751678
中壢復華站,中壢區復興段2128號,46,0,24.9764803,121.24976
Times中壢中北路停車場,中壢區中北段1136-19號,24,0,24.957537,121.2410215
中壢忠孝黃昏市場站,中壢區中工段372-1號,35,0,24.9453907,121.2264455
坤慶平面停車場,平鎮區中豐路進入坤慶路坤慶二街旁號,86,0,24.9017575,121.2137292
龍祥停車場,桃園區雙龍段562號,69,74,24.980334,121.271316
中路停車場,桃園市桃園區中山路501號,216,0,24.991246,121.29795
一品國硯社區停車場,桃園市桃園區大業路一段103-119號,6,0,25.0056268,121.3166501
中原收費停車場,中壢區新中北路與新中二街路口號,57,0,24.9589021,121.243183
青園停車場,中壢區青平段36號,48,0,24.9721514,121.2053963
Times中壢中北路2停車場,中壢區石頭段43-35號,11,0,24.936074,121.23065
正光二街停車場,中壢區正光二街116號,27,0,24.9592638,121.205319
財團法人台灣省桃園縣中壢慈惠堂停車場,中壢區慈惠一街與恩德街路口號,17,0,24.9611286,121.2248733
興仁公園停車場,中壢區興安一街2號,131,0,24.9665328,121.2636772
Times中壢後興路停車場,中壢區後興路一段118號,13,0,24.9419656,121.2472489
龜山鄉民昌停車場,桃園市龜山區忠義路一段105縣道上號,30,0,25.005931,121.3445572
桃園展演中心地下停車場,桃園區中正路1188號,87,0,25.0175106,121.2986658
中壢藝術館地下停車場,桃園市中壢區中美路16號,48,0,24.9582554,121.2274775
新富停車場,平鎮區新貴段196號,50,0,24.9296022,121.2053963
大溪地停車場,桃園市大溪區員林路一段1號,155,728,24.8983328,121.2841964
