NAME,ADDRESS,CAR_NUM,MOTOR_NUM,lat,lng
遠東百貨停車場,板橋區中山路一段152號,453,0,25.010925151488692,121.46449194269123
南華停車場,中和區中和路281號邊,42,0,24.99956739585185,121.50609662654385
集美國小地下停車場,三重區集美街10號,93,0,25.05606661581293,121.48819598886517
十三行博物館第二停車場,八里區博物館路200號,105,21,25.155691675791324,121.4057364956025
中和國中停車場,中和區興南路二段3巷17號,17,0,24.98614315559316,121.50855765752176
崇德國民小學停車場,汐止區茄苳路158號,28,0,25.069445414618503,121.66908087434864
崇光女子高中地下停車場,新店區三民路19號B2,60,0,24.971675240157186,121.53941455516147
陶博館館後停車場,鶯歌區文化路200號,50,0,24.949670033000988,121.35199025987707
水湳洞停車場,瑞芳區水湳洞段4、4-1、27-3、27-9地號(台2線78.5K),300,0,25.121942759744844,121.86448579412516
台灣省漁會三重示範魚市場停車場,三重區力行路一段6號,110,0,25.066520477623357,121.4884009620484
新北市立大觀國民中學停車場,板橋區僑中一街1號地下室,30,0,25.011118656148952,121.44851176958441
行政中心公有停車場,汐止區新台五路一段268號B1、B2,189,0,25.063811418668188,121.6591188758046
麗林國小地下室停車場,林口區公園路46號(編號1至15、24至52供社區民眾租用，編號16至23公務用),44,0,25.068574176021137,121.36794608189312
新北市光復國小地下停車場,中和區光環路二段1號,131,0,25.014765554251188,121.48324707098898
昌隆國小附設停車場,新莊區昌隆街63號,34,0,25.05124244934583,121.45506994162196
臺北科學城停車場,新店區北新路三段213號B1、B3與B4,366,0,24.98600952278996,121.54008131609459
中和區中正路加油加氣站附設停車場,中和區中正路808號,3,0,25.00295518864851,121.48510298116976
家樂福新店城室內停車場,新店區中興路三段1號B1、B2,540,0,24.975866618985933,121.54620761659494
臺北縣樹林區文林國民小學停車場,樹林區千歲街59號,22,0,24.997551946885896,121.42452347085622
工商展覽中心地下停車場,五股工業區五權路1號,424,0,25.06493829361135,121.44758748552346
家樂福林口店停車場,林口區文化二路一段559號地下2樓,137,0,25.079937192155665,121.37294653469722
遠東資源開發股份有限公司遠東路1號營業所停車場,板橋區遠東路1號地下一層,75,41,24.998633405293468,121.45716440226087
大豐社福館附設停車場,新店區民族路110號B1,27,0,24.97755242523945,121.53820703932912
金板神大樓地下停車場,板橋區南雅東路20-6號B2,20,0,25.00637389102607,121.45460727333315
萬里區商業文教綜合大樓地下停車場,萬里區瑪鍊路221號,18,0,25.17981060380716,121.68974729973957
中園國民小學B1停車場,三峽區大同路222巷22弄2號,28,0,24.92795638093781,121.36716123972391
萬里行政大樓B1停車場,萬里區瑪鍊路123號B1,35,0,25.178382308958803,121.68918865673835
永年停車場,中和區華順街52號右側,120,0,24.99880436699769,121.46607797748938
金美停車場,金山區忠孝一路70號(對面),70,0,25.22060915926703,121.63693410373355
三多國民中學停車場,樹林區三多路101號,42,0,25.005610294170612,121.414688591208
明日之星收費停車場,新莊區中正路514巷99號,76,0,25.034436466032034,121.43086850706516
Times中和黃帽汽車百貨停車場,新北市中和區建康路120號2樓,21,0,25.000167659357267,121.4885762070418
永昌停車場,新店區寶高路120巷3弄口,31,0,24.97577658047109,121.55468757051564
成功停車場,新莊區成功街202號旁,41,0,25.01829375101769,121.42153116717621
埤頭停車場,中山路一段268巷口,84,0,25.16021875757277,121.41406410759878
龍形停車場,龍米路一段和龍形一街交叉路口,0,0,25.13034478595274,121.45122218780506
新北市中和區嘉穗公園停車場,中和區民利街113巷內,40,0,24.99710237568707,121.47752140473922
水尾停車場,新北市金山區民生路190號前,111,30,0.00022811415517376166,121.58528901134008
油車口(B區)停車場,新北市淡水區中正路1段87巷與沙崙路交岔口(B區),204,0,25.18115498386925,121.4203832640252
竿蓁大型車停車場,新北市淡水區竿蓁一街(海鷗段339地號),0,0,25.165957875656648,121.449061622469
雍和台北園區收費停車場,新北市汐止區南陽街185~213號B1,184,0,25.05842628224875,121.62572313607895
新北市立圖書館捷運新店線大坪林站(捷六)新天地大樓B2停車場,新北市新店區北新路3段105巷2號B2,15,0,24.982282091836467,121.54099611989523
中山停車場,淡水區中山路148號之1,28,34,25.17156050895213,121.4413044692557
新北市立中山國民中學附設停車場,板橋區文化路一段188巷56號,101,86,25.018336688154157,121.46756162386735
公有碧潭零售市場附設停車場,新北市新店區新店路159號B1,15,0,24.95530239309472,121.53698924830955
新莊區中正停車場,新莊區中正路621號,168,0,25.031392618464157,121.43133450922069
三號公園前尖山埔路停車場(公辦公營),鶯歌區三號公園前尖山埔路,117,0,0.0,118.75456607070892
統帥工業區停車場,新店區寶興段45巷C區地下室,54,0,24.97446827409398,121.54961058298493
香檳停車場,新北市永和區民權路49巷5弄27號B1,19,0,24.99808819337832,121.52137327070469
新北市果菜運銷股份有限公司停車場,三重區中正北路111號,73,0,25.06454792544661,121.48700052910245
名城停車場,中和區景安路1號B1、B2,29,0,24.9993885446234,121.5082426488484
鼎晟停車場(中正場),新北市永和區中正路179號B1,6,0,24.998790219355726,121.51682022652216
瑞芳國民小學停車場,瑞芳區中山路2號,13,0,25.10802998599292,121.8045565575548
五工路加油站停車場,新莊區五工路99-3號,40,40,25.06445576856356,121.45632798755365
永琦停車場,新北市板橋區北門街與文昌街口,47,0,25.01117557447685,121.456509368656
興偉承停車場,新北市新莊區中山路3段500巷29號,42,0,25.029976192919428,121.41188590574477
新北市蘆洲區鷺江國民小學地下室一、二樓停車場,新北市蘆洲區民族路7號,99,0,25.084337536837225,121.47585184985569
碧潭西岸停車場,新北市新店區溪州路31號旁空地,86,0,24.961157206355015,121.53320873874964
碧潭渡船頭停車場,新北市新店區新店路67號旁空地,79,0,24.960742366320773,121.53685142166701
碧潭東岸停車場,新北市新店區環河路29巷5號1樓旁空地,86,0,24.955674408917517,121.53647293275708
日新街停車場,新北市土城區日新街36號旁空地,24,0,24.987856598606292,121.44429368083135
大家停車二場,新北市永和區民樂街31巷前堤外,480,0,25.004741255309142,121.52923381281995
聖日停車場,新北市中和區立言街1至35號旁空地,48,0,25.00670750702553,121.48476105919643
遠雄購物中心停車場,新北市汐止區新台五路1段93-1號B2、B4,775,1464,25.061411725406,121.64743834598127
三光國小地下室停車場,新北市三重區大同南路157號,79,43,25.056196624984,121.49663585012051
鼎晟停車場(安平場),新北市中和區安平路79號地下2樓,124,0,24.995793672375,121.51004863763096
愛買南雅店路外停車場,新北市板橋區貴興路119巷,105,0,25.00181430530445,121.4561953977967
十分第二停車場,新北市平溪區十分寮段十分寮小段97地號近遊客中心入口,106,0,25.045946623067174,121.78082686581855
永平國小平面停車場,新北市永和區保生路25號,43,0,25.007883402745925,121.50577899111414
福祥停車場,新北市三重區穀保街(崁頂街210巷74號後面),23,0,25.068358520139252,121.47422199369106
中華電信學院第一停車場,板橋區民族路168號,44,0,25.008375269042247,121.46575049110676
彩虹樓地下停車場,新北市永和區文化路1331F、B1,55,0,25.015487800486746,121.51158642506873
鴻金寶地下收費停車場,新北市新莊區民安路188巷5號B3,134,0,25.02323096481843,121.42512700214199
圳福收費停車場,新北市樹林區樹新路250-1號拖吊場旁,61,0,24.99817380751641,121.42961955606144
光武停車場,新北市三重區車路頭街151號旁空地,40,0,25.077039748691174,121.48379158153857
遠東科技中心停車場,新北市汐止區大同路二段125號B1,83,0,25.06417329263527,121.65076036705273
江陵春一期(B1F)停車場,新北市新店區民權路113號B1,43,0,24.982533329411588,121.53643587808628
大時代停車場,新北市中和區景新街328號地下3樓,28,0,24.991048055122466,121.51174772656654
迪斯尼購物廣場地下停車場,新北市土城區青雲路152號B3~B5,418,0,0.0,118.75456607070892
大同國民小學活動中心地下停車場,新北市樹林區大同街43號,24,0,24.981424940574836,121.41745519604271
板橋金站停車場,新北市板橋區館前西路6號地下1樓至地下3樓,43,0,25.00712290260537,121.45912277954297
艾德蒙海外股份有限公司停車場,新北市中和區建一路176號B2,150,0,24.997285624222588,121.48782480075347
艾德蒙海外股份有限公司淡水竹圍第一期停車場,新北市淡水區民族路31巷1號及33巷10號B2,8,0,25.13606456971993,121.4627625242125
艾德蒙海外股份有限公司淡水竹圍第二期停車場,新北市淡水區民族路31巷28-100號B2、B3,63,0,25.136673319285727,121.46296813072786
艾德蒙海外股份有限公司淡水竹圍第三期停車場,新北市淡水區民族路31巷1號B2、B3(營業範圍詳見登記證電子檔),91,0,25.136736533349662,121.46151543005614
新北市興化國小附設停車場,新北市新莊區五工二路50巷2號,60,0,25.06588839713336,121.461628265446
馥都飯店停車場,新北市板橋區縣民大道1段189號B1~B4,49,0,25.008945136891903,121.459595200932
新環停車場,新北市新店區環河路181-1號旁空地,108,0,24.96764515056477,121.53664367207449
土城區綜合體育場附設停車場,新北市土城區裕民路193-1號,58,0,24.987130695003547,121.45388766290917
新莊區農會停車場,新北市新莊區中正路80號B2-B4,345,0,25.037857553354627,121.4582263346358
錦和高中收費停車場,新北市中和區錦和路163號,16,0,24.991774296319427,121.49182487415113
全群停車場,新北市板橋區四維路230巷2號,61,0,25.028088810958547,121.46413540386992
晶冠廣場地下停車場,新北市新莊區五工路66號B1~B3,381,180,25.06387628621137,121.45833991926264
中信國小收費停車場,新 北市新莊區忠信街168號,26,0,25.051800177345466,121.44831082827045
矽谷溫泉會館停車場,新店區中正路491-1號,120,0,24.98276022032104,121.53359406592772
台灣聯通三峽停車場,三峽區和平街65號B2,21,0,24.936476795369693,121.3699341930836
星聚點板橋站停車場,板橋區中山路一段1號B2,79,0,25.007424547992997,121.45938148976795
北峰國民小學附設停車場,新北市汐止區環河街1 號,13,0,25.06296953248012,121.6316039354768
Times蘆洲三民路停車場,新北市蘆洲區三民路505號旁,0,47,25.09234763607801,121.46230747031548
智富連城工商園區停車場,中和區連城路232-1號B1,21,0,24.99711325289545,121.48945372487393
江陵禮一期停車場,新店區民權路63、65、67、69號B5、B6、B7,163,0,24.982808425232648,121.53900747498491
仁化收費停車場,新北市板橋區仁化街54號旁,11,0,25.031870689767604,121.4758454809469
光寶科技中和大樓C棟停車場,新北市中和區建六路77號,42,0,25.002238210367103,121.48763135928928
碧華停車場,新北市三重區仁華街118巷9-8號旁,28,10,25.084519617560293,121.48514145042108
便利停車場新莊二站,新北市新莊區中正路649-1號B2,201,0,25.030971732962357,121.43014789976931
忠佑停車場,淡水區民族路31巷1號B1,66,0,25.1363512703934,121.46201978166413
國立臺灣藝術大學停車場,新北市板橋區大觀路一段59號,88,0,25.00594783243348,121.44773806599441
竹城長崎收費停車場,新北市林口區文化三路2段115巷2號,26,26,25.08119322952836,121.37429358748258
九樹社區停車場,新北市林口區公園路120-1號,46,0,25.071020060085093,121.37006474091193
野柳海洋世界停車場,新北市萬里區野柳里港東路167-3號,149,0,25.204359737986735,121.6910941820668
美麗人生停車場,新北市三重區光復路1段45號B1、B2,67,67,25.04843111059929,121.4721304935684
Times 寶雅淡水中山北路店停車場,新北市淡水區中山北路2段96、98號,12,0,25.18400960796709,121.44448945888544
湯城三期停車場,新北市三重區重新路5段609巷及中興北街交叉口,439,1223,25.046034124220032,121.46928695232893
興南國小收費停車場,新北市中和區興南路1段135巷24號B1,35,0,24.987168411060505,121.50971389578122
白金花園收費停車場,新北市新店區安興路77號,98,0,24.975339303251058,121.51559603747187
銘鎮停車收費停車場,新北市鶯歌區建國路12號對面空地,78,0,24.95631375918334,121.35626061466242
丞石淳收費停車場,新北市林口區文化北路1段526巷13號,17,0,25.078843167380573,121.36817007351836
興南停車場,中和區景新街410巷24號4至7樓頂層,205,0,24.9848959530304,121.504966767154
中原二平面停車場,新北市新莊區中原路237號對面空地,11,0,25.05446877170074,121.44954653246211
新北市三重區環河快速高架橋下平面停車場,新北市三重區河邊北街70號對面，位於環河北路近開元公園至環河北路128巷,128,268,25.069681580999674,121.50422350990156
新北市三重區中山高架橋下(中山段)停車場,新北市三重區中山高架橋下方橋墩編號P35至P51,145,50,25.061518590639444,121.4829793167302
中原一平面停車場,新北市新莊區中原路317號對面空地,45,0,25.054468003781643,121.44680909658136
新峰向社區收費停車場,新北市蘆洲區長興路166號,15,0,25.08584997192115,121.46148600748377
翔譽A+停車場,新北市三重區成功路100號B1、B2,21,0,25.05135093746389,121.48773727165928
重陽停車場,新北市蘆洲區重陽街46號旁停車場,29,0,25.082544595024896,121.48171754863613
MITSUI  OUTLET  PARK  收費停車場,新北市林口區文化三路1段356號,2000,1390,25.071061023824235,121.36445441545784
新莊國民運動中心停車場,新莊區立德里公園路11號,344,180,25.039831424030503,121.4474576725448
Times 蘆洲九芎街第2停車場,新北市蘆洲區九芎街90巷5號旁,13,0,25.080999946352488,121.46499988726737
中原三平面停車場,新北市新莊區榮華路2段中信國小對面空地,24,0,25.05572438858711,121.44931324499771
