NAME,ADDRESS,CAR_NUM,MOTOR_NUM,lat,lng
赤崁樓停車場,臺南市中西區民族路2段212號,92,0,22.996785,120.202848
崇善停車場,臺南市東區崇善路913巷6弄口（德高段349地號）,4,0,22.965755,120.233832
和益停車場,臺南市永康區永康車站旁,0,76,23.038336,120.253523
台灣聯通民生場,臺南市中西區民生路2段279號,132,0,22.996694,120.192082
凱得停車場,臺南市永康區國光八街108號旁空地（大灣段6829、6832地號）,20,0,23.011418,120.259606
凱旋臨時停車場,臺南市東區中華東路與凱旋路口(東光段1011地號),271,0,22.992103,120.233264
南紡夢時代停車場,臺南市東區中華東路1段366號,1026,1975,22.989882,120.233606
邵慈企業社停車場,臺南市中西區觀亭街110號,19,0,22.997683,120.206074
西拉雅停車場,臺南市白河區溫泉段546地號土地(統茂會館旁),91,0,23.336388,120.504550
西拉雅(一)停車場,臺南市白河區溫泉段577地號土地(統茂會館斜對面),23,0,23.336390,120.504326
台灣聯通台南東和停車場,臺南市東區東和路102號西側空地（光明段6154-14、6240-6地號等2筆土地）,11,0,22.998513,120.227428
台灣聯通台南東一停車場,臺南市東區東和路88號東側空地（光明段6150地號土地）,6,0,22.998593,120.226838
馬雅各紀念大樓地下停車場,臺南市麻豆區麻豆區苓子林20號,48,0,23.180225,120.232857
台南市立醫院停車場,臺南市東區崇德路670號,127,54,22.968726,120.226791
文化商場地下收費停車場,臺南市東區中華東路3段336巷53號地下1樓,34,0,22.975339,120.220763
娛樂城停車場,臺南市中西區公園路60號,84,0,22.995506,120.206413
黃家停車場,臺南市永康區永康區勝華街與勝利街口東北側（兵北段288地號）,36,0,23.006501,120.233034
臺南俥亭成功停車場,臺南市北區成功路22巷3號,46,0,22.999063,120.208996
長春停車場,臺南市新營區長春街154-2號西側,5,0,23.301409,120.310874
嘟嘟房高鐵台南站停車場,臺南市歸仁區歸仁大道100號,645,433,22.925709,120.284688
加昇停車場,臺南市北區文成路與西門路四段西北側,105,0,23.012056,120.208761
台灣聯通台南小東停車場,臺南市東區小東路190號旁空地（光明段6071-2地號）,30,0,22.999756,120.227488
TimesUniqlo台南文賢路店平面停車場,臺南市北區文賢路996號,45,0,23.012586,120.194221
台灣聯通台南富農停車場,臺南市東區富農街一段209號旁空地（虎尾寮段468-20地號）,30,0,22.983470,120.234978
春長停車場,臺南市永康區國光二街32號旁(大彎段7829、7832地號),21,0,23.002015,120.258950
Times台南東區生產路停車場,臺南市東區生產路614號西側空地,72,0,22.965842,120.231489
國賓停車場,臺南市北區成功路2號地下3樓,84,0,22.997844,120.211450
國立成功大學光復校區計時收費停車場,臺南市東區大學路1號,27,0,23.000725,120.216947
台灣聯通台南永康停車場,臺南市永康區中山南路119巷12號旁(永康段1151地號),43,0,23.013630,120.229683
崇善11街停車場,臺南市東區崇善11街54巷8號對面空地(竹篙厝段2756、2757、2775地號),85,0,22.970402,120.232664
台灣聯通台南莊敬停車場,臺南市東區莊敬路270號對面(東光段51-16、51-17、51-18、51-19地號等4筆土地),146,0,22.997197,120.233599
Times台南樹林開山停車場,臺南市中西區樹林街二段122號旁空地,39,0,22.986574,120.208403
安平古堡停車場,臺南市安平區安平路185號,50,0,23.0000868,120.1602432
台南航空站停車場,臺南市南區機場路775號地下室1樓,106,0,22.947833,120.216238
幸福工廠停車場,臺南市仁德區機場路1008號旁空地(二仁段579地號，577、578地號部份作為聯外通道使用),76,0,22.947982,120.217462
台南自由停車場,臺南市東區自由路一段79號旁(德高段106、106-1、107、126-2地號),52,0,22.967380,120.234425
台南活水路樹谷園區停車場,臺南市新市區活水路1號,242,32,23.104445,120.261405
崇明大樓室內停車場,臺南市東區崇明路268號地下一樓,9,0,22.978115,120.219239
竑穗興業有限公司開元停車場,臺南市北區開元路181號,85,0,23.007221,120.219127
翰林停車場,臺南市東區東區自由路三段210號旁(虎尾寮段532-1、533-2、532-3、532-4、532-101、533-1、533-2、533-3、533-9地號),89,0,22.979240,120.237868
GoLine台南長榮停車場,臺南市北區北區長榮路四段221號旁(仁愛段560、620地號),17,0,23.007225,120.220856
新樓醫院停車場,臺南市東區東門路1段57號,175,0,22.989099,120.212687
TimesUniqlo台南新營復興路店平面停車場,臺南市新營區復興路490號,38,0,23.305284,120.299050
國立臺灣歷史博物館遊客停車場,臺南市安南區長和路1段250號,214,0,23.059165,120.231786
台南西門停車場,臺南市中西區友愛街177號對面,38,0,22.991848,120.197869
成功大學醫學中心附屬停車場,臺南市北區勝利路138號,56,81,23.001281,120.218925
文東停車場,臺南市東區文東路30巷24號(東區德高段481-3號),6,0,22.960811,120.233533
林森停車場,臺南市北區林森路三段138號,173,0,23.003904,120.225100
TimesUNIQLO臺南永康永大路店停車場,臺南市永康區永大路三段168號,43,0,23.031159,120.260281
大遠百停車場,臺南市東區前鋒路210號,530,0,22.996316,120.214833
榮驊停車場,臺南市永康區大橋一街139巷與181巷22弄路口西側空地(六甲頂段788地號),36,0,23.018705,120.229407
郭綜合醫院立體停車場,臺南市中西區民生路2段27號,106,0,22.994758,120.19839
日月亭健康路停車場,臺南市南區健康路二段386號旁(新興段233-21，233-22與233-23等3筆地號),20,0,22.982432,120.186874
Times崇善十街停車場,臺南市東區崇善十街61號(東區竹篙段3685地號),49,0,22.971720,120.232003
五都停車場高鐵台南二站,臺南市歸仁區高鐵大道與高鐵一路交叉口（武東段366-6~366-12地號）,185,0,22.922471,120.282606
華興段008-0000私人停車場,臺南市北區南園街127巷106弄82號旁空地(北區華興段8地號土地),6,0,23.008604,120.229746
綠園停車場,臺南市中西區中山路39號(中西區三民段74地號土地),13,0,22.993383,120.206207
七股鹽山停車場,臺南市七股區鹽埕里66號,80,22,23.154948,120.098966
臨安民生路停車場,臺南市中西區民生路二段374號旁(臨安段1061~1066與1081等7筆地號),29,0,22.997775,120.188810
柳營新天地停車場,臺南市柳營區太康村201-10號,341,303,23.289913,120.329166
助安168台南北門停車場,臺南市中西區北門路一段101號地下室(中西區青年段503、508、509、510、512及859地號等6筆土地),35,0,22.992244,120.211521
見橋停車場,臺南市永康區中華路870號旁空地(六甲頂段522地號),0,91,23.021339,120.221810
