縣市代碼,縣市名稱,學校代碼,學校名稱,班級數7年級,班級數8年級,班級數9年級,學生數7年級男,學生數7年級女,學生數8年級男,學生數8年級女,學生數9年級男,學生數9年級女,上學年男畢業生,上學年女畢業生,男專任教師,女專任教師,男職員,女職員,lat,lng,stu_sum,stu_sum_lastyear,staff_sum
30,臺北市,353505,市立中正國中,23,23,23,405,366,411,378,379,363,389,356,36,134,5,19,25.0323588,121.5219754,2302,745,194
30,臺北市,361301,私立靜修女中附設國中部,4,4,3,32,61,22,76,29,68,17,59,0,0,0,0,25.0579309,121.515496,288,76,0
30,臺北市,363302,市立成淵高中附設國中部,10,10,10,175,124,168,120,135,146,153,125,0,0,0,0,25.0614213,121.5185204,868,278,0
30,臺北市,363501,市立建成國中,7,7,6,93,91,75,81,81,89,89,74,17,41,1,13,25.0516653,121.5186171,510,163,72
30,臺北市,363502,市立忠孝國中,6,6,7,93,75,93,62,87,79,79,77,22,36,3,11,25.051247,121.5082165,489,156,72
30,臺北市,363504,市立民權國中,9,8,9,128,115,114,119,115,116,103,70,18,56,1,12,25.0637369,121.5138782,707,173,87
30,臺北市,363506,市立蘭州國中,3,3,3,34,24,32,34,24,28,31,31,5,25,2,9,25.069322,121.516736,176,62,41
30,臺北市,363507,市立重慶國中,9,9,10,99,58,104,71,124,69,115,91,20,56,2,13,25.0759168,121.5180299,525,206,91
30,臺北市,373302,市立大理高中附設國中部,4,5,5,57,46,60,39,67,48,59,50,0,0,0,0,25.0308614,121.4912045,317,109,0
30,臺北市,373501,市立萬華國中,14,15,16,176,164,152,118,169,162,199,181,34,84,7,13,25.0291201,121.4990359,941,380,138
30,臺北市,373503,市立雙園國中,4,4,5,17,41,19,52,37,46,19,51,12,29,2,11,25.0275539,121.4926458,212,70,54
30,臺北市,373505,市立龍山國中,8,8,8,77,62,73,86,91,78,95,80,22,44,0,14,25.0360766,121.504618,467,175,80
30,臺北市,380301,國立政大附中,5,5,5,78,72,67,76,81,69,71,68,0,0,0,0,24.9871265,121.5858355,443,139,0
30,臺北市,381301,私立東山中學附設國中部,13,13,13,363,227,338,193,352,144,340,214,0,0,0,0,24.9733741,121.5615447,1617,554,0
30,臺北市,381304,私立再興中學附設國中部,8,8,8,189,168,212,139,193,148,203,144,0,0,0,0,24.9904136,121.5591612,1049,347,0
