學校代碼,學校名稱,日間∕進修別,等級別,上學年畢業生男,上學年畢業生女,縣市名稱,體系別,stu_sum,lat,lng
1042,高苑科技大學,N 修,B 四技,226,112,12 高雄市,2 技職,1387,22.840922199999998,120.26463190000001
1043,大仁科技大學,N 修,C 二技,127,461,13 屏東縣,2 技職,1813,22.726916,120.54232900000001
1044,聖約翰科技大學,N 修,B 四技,22,16,01 新北市,2 技職,933,25.2273378,121.45103909999999
1045,嶺東科技大學,N 修,B 四技,222,255,19 臺中市,2 技職,2267,24.137825,120.609567
1046,中國科技大學,N 修,X 4+X,15,27,30 臺北市,2 技職,2631,24.9991431,121.5553747
1047,中臺科技大學,N 修,C 二技,43,374,19 臺中市,2 技職,2254,24.173734,120.7351321
1048,亞洲大學,P 進,B 學士,87,117,06 臺中市,1 一般,2902,24.046532,120.686421
1049,開南大學,P 進,B 學士,127,102,03 桃園市,1 一般,1834,25.011222399999998,121.2698598
1050,佛光大學,N 職,M 碩士,33,41,02 宜蘭縣,1 一般,914,24.816411300000002,121.72361809999998
1051,台南應用科技大學,N 修,C 二技,14,108,11 臺南市,2 技職,2678,23.0387,120.2394972
1052,遠東科技大學,N 修,2 二專,16,1,11 臺南市,2 技職,1522,23.0646068,120.29435459999999
1053,元培醫事科技大學,N 修,C 二技,59,254,18 新竹市,2 技職,1648,24.776336999999998,120.94282959999998
1054,景文科技大學,N 修,C 二技,38,86,01 新北市,2 技職,1659,24.952911,121.509176
1055,中華醫事科技大學,N 修,C 二技,75,245,11 臺南市,2 技職,2165,22.9608918,120.2436327
1056,東南科技大學,N 修,B 四技,68,16,01 新北市,2 技職,1380,25.003400199999998,121.60446329999999
1057,德明財經科技大學,N 修,C 二技,10,22,30 臺北市,2 技職,2027,25.0865509,121.56549229999999
1058,明道大學,P 進,B 學士,135,75,07 彰化縣,1 一般,1143,23.868141100000003,120.4949742
1060,南開科技大學,N 修,B 四技,125,77,08 南投縣,2 技職,1165,23.979233100000002,120.69684299999999
1061,中華科技大學,N 修,C 二技,83,77,30 臺北市,2 技職,1681,25.0336217,121.6099098
1062,僑光科技大學,N 修,2 二專,1,1,19 臺中市,2 技職,2407,24.1895097,120.6430997
1063,育達科技大學,N 修,2 二專,0,15,05 苗栗縣,2 技職,1398,24.6509745,120.8422629
1064,美和科技大學,N 修,2 二專,3,11,13 屏東縣,2 技職,1925,22.603895,120.56066799999999
1065,吳鳳科技大學,N 修,B 四技,147,66,10 嘉義縣,2 技職,1135,23.5360276,120.4341554
1066,環球科技大學,N 修,2 二專,35,35,09 雲林縣,2 技職,1369,23.679852899999997,120.55314109999999
1067,台灣首府大學,P 進,B 學士,54,30,11 臺南市,1 一般,646,23.193071300000003,120.2684501
1068,中州科技大學,N 修,C 二技,145,344,07 彰化縣,2 技職,1297,23.9576199,120.60405870000001
1069,修平科技大學,N 修,B 四技,132,20,06 臺中市,2 技職,1259,24.0953128,120.71387220000001
1070,長庚科技大學,N 修,C 二技,35,622,03 桃園市,2 技職,2356,25.030986600000002,121.39012109999999
1071,臺北城市科技大學,N 修,2 二專,3,4,30 臺北市,2 技職,1818,25.133617,121.468879
1072,大華科技大學,N 修,2 二專,42,14,04 新竹縣,2 技職,846,24.7775247,121.09007179999999
1073,醒吾科技大學,N 修,B 四技,80,90,01 新北市,2 技職,1578,25.0803455,121.39769270000001
1075,文藻外語大學,N 修,C 二技,16,48,50 高雄市,2 技職,2003,22.670348800000003,120.31914029999999
1076,華夏科技大學,N 修,2 二專,48,53,01 新北市,2 技職,1175,24.9812421,121.50741809999998
1077,慈濟科技大學,N 修,C 二技,4,30,15 花蓮縣,2 技職,642,23.9966876,121.564793
1078,致理科技大學,N 修,C 二技,4,9,01 新北市,2 技職,2561,25.021098600000002,121.46512790000001
1079,康寧大學,P 進,B 學士,55,48,30 臺北市,1 一般,1024,23.059024800000003,120.1542518
1080,宏國德霖科技大學,N 修,2 二專,36,45,01 新北市,2 技職,1523,24.972325,121.45576770000001
1081,東方設計大學,N 修,B 四技,18,16,12 高雄市,2 技職,626,22.880716,120.24537990000002
1082,崇右影藝科技大學,D 日,5 五專,3,12,17 基隆市,2 技職,511,25.133664399999997,121.75506850000001
1083,台北海洋科技大學,N 修,2 二專,34,4,01 新北市,2 技職,1191,25.1921692,121.4267044
1125,中信金融管理學院,D 日,B 學士,51,74,21 臺南市,1 一般,143,23.0637267,120.16296740000001
1148,大漢技術學院,N 修,2 二專,25,24,15 花蓮縣,2 技職,354,24.0392272,121.60570390000001
1159,和春技術學院,N 修,2 二專,73,34,12 高雄市,2 技職,534,22.6080409,120.42709679999999
1166,亞東技術學院,N 修,C 二技,1,23,01 新北市,2 技職,1107,24.9951546,121.45317949999999
1168,南亞技術學院,N 修,2 二專,13,4,03 桃園市,2 技職,686,24.9369569,121.2516879
1176,稻江科技暨管理學院,P 進,B 學士,48,93,10 嘉義縣,1 一般,447,23.4488003,120.2897636
1182,蘭陽技術學院,D 日,5 五專,19,14,02 宜蘭縣,2 技職,174,24.864987,121.817719
1183,黎明技術學院,N 修,2 二專,2,50,01 新北市,2 技職,949,25.0662724,121.4210118
1185,經國管理暨健康學院,N 修,C 二技,6,82,17 基隆市,2 技職,748,25.1500306,121.7277801
1188,大同技術學院,N 修,2 二專,2,2,20 嘉義市,2 技職,491,23.469727,120.46486499999999
1192,臺灣觀光學院,N 修,2 二專,1,1,15 花蓮縣,2 技職,183,23.8586595,121.4865128
1195,馬偕醫學院,D 日,B 學士,67,95,01 新北市,1 一般,174,25.254376999999998,121.4950804
1196,法鼓文理學院,D 日,B 學士,5,6,01 新北市,1 一般,32,25.245411999999998,121.61695690000002
1282,馬偕醫護管理專科學校,N 修,2 二專,102,98,30 臺北市,2 技職,843,25.1222891,121.4644703
1283,仁德醫護管理專科學校,N 修,2 二專,113,75,05 苗栗縣,2 技職,1132,24.622188,120.780827
1284,樹人醫護管理專科學校,N 修,2 二專,137,66,12 高雄市,2 技職,1098,22.883493100000003,120.26139270000002
1285,慈惠醫護管理專科學校,N 修,2 二專,20,67,13 屏東縣,2 技職,909,22.486071,120.4894273
1286,耕莘健康管理專科學校,N 修,2 二專,0,37,01 新北市,2 技職,839,24.977057199999997,121.53689059999999
1287,敏惠醫護管理專科學校,D 日,5 五專,79,575,11 臺南市,2 技職,654,23.2799158,120.3287761
1289,育英醫護管理專科學校,D 日,5 五專,28,315,50 高雄市,2 技職,343,22.650069100000003,120.3332807
1291,聖母醫護管理專科學校,D 日,5 五專,79,375,02 宜蘭縣,2 技職,454,24.6646906,121.7022666
1292,新生醫護管理專科學校,N 修,2 二專,15,26,03 桃園市,2 技職,931,24.831944500000002,121.2086202
1293,崇仁醫護管理專科學校,D 日,5 五專,65,547,10 嘉義縣,2 技職,612,23.478051999999998,120.48311499999998
