FactoryName,Addr,lat,lng,MiddleIndustry,DetailIndustry,Material,ProductName
弼昌鋼管工業有限公司,桃園市大園區沙崙里西濱路一段１２７號１樓,25.1106739,121.2381,金屬製品業,其他金屬加工處理業,冷軋鋼板（管）、鋼板（捲）,鐵管、黑鋼管
瑞太福科技股份有限公司二廠,桃園市蘆竹區海湖里１３鄰海湖１８６之３１號,25.1153412,121.2519,電子零組件業,印刷電路板製造業,,印刷電路板
更安立有限公司,桃園市蘆竹區海湖里１６鄰海湖１８４號１樓,25.1142521,121.25173999999998,其他製造業,其他未分類製造業,,其他未列名雜項製品
展明齒輪股份有限公司二廠,桃園市蘆竹區海湖里濱海路一段２８９號１樓,25.1158352,121.259,機械設備業,金屬切削工具機製造業,,齒輪機械、銑床、車床、磨床等通用機械設備
高泰金屬有限公司,桃園市蘆竹區海湖里濱海路一段８２號１樓,25.1122646,121.25549299999999,金屬製品業,其他金屬加工處理業,廢電纜銅線及廢銅．廢鋁．廢鐵,其他金屬制品（廢電纜銅線材加工）
國森金屬有限公司,桃園市蘆竹區海湖里濱海路一段８２號１樓,25.1122646,121.25549299999999,金屬製品業,其他金屬加工處理業,,其他金屬製品（廢電纜銅線材加工）
香港商艾利丹尼森香港有限公司台灣分公司,桃園市蘆竹區海湖里濱海路一段２８０號１樓,25.1143322,121.259827,紙漿、紙及紙製品業,未分類其他紙製品製造業,其他紙製品,其他紙製品
展明齒輪股份有限公司,桃園市蘆竹區海湖里濱海路一段３６５號,25.116434100000003,121.26064299999999,機械設備業,金屬切削工具機製造業,,齒輪機械、銑床、車床、磨床等
弘洋股份有限公司,桃園市蘆竹區海湖里濱海路一段３６９號,25.1169357,121.260979,家具業,其他非金屬家具製造業,,非金屬家具，金屬家具
遠雄物流事業股份有限公司蘆竹廠,桃園市蘆竹區海湖里濱海路一段２３８號,25.113864899999996,121.26029199999999,金屬製品業,其他金屬容器製造業,,航空貨櫃、貨盤、裝盤、貨運裝具等裝配維護
永秀興業有限公司成功廠,桃園市蘆竹區海湖里海山路二段５２０－６號,25.110981,121.255234,塑膠製品業,其他塑膠製品製造業,塑膠料,塑膠粒
台光染整股份有限公司海湖二廠,桃園市蘆竹區濱海里海湖北路３０９巷１００號,25.1157112,121.261124,紡織業,染整業,,一般布料之染色加工及處理
台光染整股份有限公司海湖廠,桃園市蘆竹區濱海里海湖北路３０９巷１００號,25.1157112,121.261124,紡織業,染整業,,一般布料之染色加工及整理
美加利實業有限公司蘆竹廠,桃園市蘆竹區海湖里１０鄰海山路二段５２０之５號,25.110960000000002,121.25546999999999,紡織業,染整業,,染布、織布
諾鍈興業有限公司,桃園市蘆竹區海湖里海山路二段５２０號１樓,25.1107121,121.25546999999999,金屬製品業,其他金屬加工處理業,,消音箱．隔音門
景陽製瓶工業股份有限公司,桃園市蘆竹區海湖里濱海路一段４３３號,25.1174,121.262543,塑膠製品業,其他塑膠製品製造業,,寶特瓶、點滴瓶
固亞汽車製造股份有限公司蘆竹廠,桃園市蘆竹區海湖里１６鄰海湖１８６－２７號,25.1141167,121.26201599999999,汽車及零件業,車體製造業,,大客車車身打造
台灣防潮科技股份有限公司,桃園市蘆竹區海湖里中圳街２６５號,25.110561399999998,121.25873600000001,電力設備業,家用空調器具製造業,,電子防潮箱
更安立有限公司二廠,桃園市蘆竹區海湖里海湖１８４號,25.114233,121.26226000000001,木竹製品製造業,其他木竹製品製造業,,木竹製品（木削、木塊）
華勝壓光廠有限公司,桃園市蘆竹區海湖里中圳街１９０號,25.1105175,121.2594,紡織業,染整業,,布尺、衣服、鞋、帽、傘、服飾品
優福得科技有限公司,桃園市蘆竹區海湖里中圳街２５５號,25.1104374,121.2593,電腦電子及光學品業,其他電腦週邊設備製造業,,濾心
科頂有限公司桃園廠,桃園市蘆竹區海湖里海山東街１３巷１０號,25.1092758,121.25711100000001,塑膠製品業,其他塑膠製品製造業,,塑膠製品、ＨＯ－ＰＥ可撓管、ＰＥ黃色捲繞管
桃園紙廠股份有限公司桃園工廠,桃園市蘆竹區濱海里海湖北路３０９巷８９號,25.1131783,121.2624,紙漿、紙及紙製品業,紙張製造業,廢紙,單面牛皮紙板、芯紙
鍾鼎機械工程有限公司,桃園市蘆竹區濱海里中圳街１８６號,25.110162699999997,121.259689,機械設備業,化工機械設備製造業,,鍋爐、壓力容器製造
興毅鍋爐有限公司蘆竹廠,桃園市蘆竹區濱海里中圳街１８６號,25.110162699999997,121.259689,金屬製品業,鍋爐、金屬貯槽及壓力容器製造業,,鍋爐
國業砂石企業有限公司,桃園市大園區海口里建國路１４８號,25.1099854,121.25006100000002,非金屬礦物製品業,石材製品製造業,,砂石
昭伸企業股份有限公司,桃園市蘆竹區海湖里１７鄰海山中街２８９號,25.1137161,121.27161399999999,機械設備業,未分類其他專用機械設備製造業,,專用機械設備
鈺華營造有限公司,桃園市蘆竹區海湖里１７鄰海山中街２８７號,25.1136646,121.27153,機械設備業,未分類其他專用機械設備製造業,,專用機械設備
萬信鋁業有限公司,桃園市蘆竹區海湖里海山中街２８６號,25.11334,121.271492,金屬製品業,金屬建築組件製造業,,鋁門窗、帷幕牆
台灣鑄鋁股份有限公司蘆竹廠,桃園市蘆竹區海湖里海山中街２８８號１樓,25.11307,121.271759,基本金屬業,鋁鑄造業,,加工組裝
萬信鋁業有限公司蘆竹廠,桃園市蘆竹區海湖里海山中街２８８號１樓,25.11307,121.271759,金屬製品業,金屬建築組件製造業,,鋁門窗
木崧企業有限公司,桃園市蘆竹區海湖里１５鄰濱海路一段４８７巷３號１樓,25.1177979,121.26424399999999,木竹製品製造業,合板及組合木材製造業,,木棧板及木箱
冠維企業股份有限公司蘆竹廠,桃園市蘆竹區海湖里海湖北路２８７、２８９號１樓,25.11285,121.2663,食品及飼品業,未分類其他食品製造業,,調合麥片、麥粉、沖泡飲料粉、沖泡咖啡包
昶昕實業股份有限公司,桃園市蘆竹區海湖里海湖北路２９５號,25.11309,121.26593799999999,化學製品業,未分類其他化學製品製造業,,特用化學品
