FactoryName,Addr,lat,lng,MiddleIndustry,DetailIndustry,Material,ProductName
寶健銅板金屬有限公司,新北市新莊區中正路４８號,25.0412464,121.463936,基本金屬業,銅材軋延、擠型及伸線業,,銅（板，條，管，線）加工，不銹板加工
宏昌食品企業有限公司,新北市新莊區中正路５４４之３及之４號,25.04191,121.465553,食品及飼品業,肉類其他加工及保藏業,,調理肉品
紀倫企業股份有限公司新莊廠,新北市新莊區中正路６５９之３、５號７樓,25.04191,121.465553,金屬製品業,未分類其他金屬製品製造業,,金屬製品
銚陽工業股份有限公司中正廠,新北市新莊區中正路６５９之２、之３、之５號８樓,25.04191,121.465553,電力設備業,照明器具製造業,鐵材、塑膠,燈具
弘珉企業有限公司,新北市板橋區吳鳳路５０巷５３弄１號１樓,25.03069,121.469177,其他製造業,文具製造業,,彩色筆，簽字筆，黑白板裝配，畫板裝配
東沿科技有限公司,新北市新莊區中正路４６巷６號１樓,25.041505800000003,121.463951,電子零組件業,未分類其他電子零組件製造業,電子零件,電子連接器
東洋鋼帶有限公司二廠,新北市新莊區中正路４６巷８號,25.0415573,121.463951,金屬製品業,金屬表面處理業,,鋼材表面處理
建新廚櫃事業有限公司,新北市新莊區化成路３之１號,25.0417652,121.46444699999999,家具業,金屬家具製造業,,不銹鋼廚具
騰昌橡膠工業有限公司,新北市新莊區中正路４６巷３號,25.0414925,121.46381399999999,橡膠製品業,工業用橡膠製品製造業,,橡膠製品
昕展工業有限公司,新北市新莊區中正路４６巷１０號１樓,25.041610000000002,121.463943,金屬製品業,金屬模具製造業,,鑄造模具
康翔電機有限公司,新北市新莊區中正路４６巷５號,25.041545899999996,121.463806,電力設備業,發電、輸電及配電機械製造業,,自動控制系統器材高低壓配電盤機械自動設備
今成企業有限公司,新北市新莊區中正路４６巷７號,25.041591600000004,121.46381399999999,金屬製品業,未分類其他金屬製品製造業,,金屬製品
振朧精密有限公司,新北市新莊區中正路４６巷９號,25.04162,121.46381399999999,金屬製品業,金屬模具製造業,,模具
廣鑫機械有限公司,新北市新莊區中正路４６巷１２號１樓,25.0416889,121.463943,金屬製品業,金屬模具製造業,,金屬模具
三達彩色印刷股份有限公司第一廠,新北市新莊區中正路４６巷１３號,25.0416965,121.463806,印刷及儲存媒體複製業,印刷業,,各種美術品之承印
侑升企業社,新北市新莊區中正路４６巷１６號,25.0418129,121.463943,機械設備業,其他金屬加工用機械設備製造業,,機械設備製造業
三達彩色印刷股份有限公司第二廠,新北市新莊區中正路４６巷１７號,25.0417938,121.463806,印刷及儲存媒體複製業,印刷業,,各種美術品之承印
凱麗實業有限公司,新北市新莊區中正路４６巷１８號１樓,25.0418587,121.463936,家具業,其他非金屬家具製造業,,金屬百葉窗，塑膠百葉窗，纖維編織窗簾及百葉窗
品優國際有限公司,新北市新莊區中正路４６巷１９號１樓,25.0418415,121.4638,印刷及儲存媒體複製業,印刷業,,印刷品
福維寢具有限公司,新北市板橋區民生路三段２２６號,25.0301628,121.4648,紡織業,紡織製成品製造業,,床單、床罩
怡榮有限公司,新北市新莊區中正路４６巷２１號,25.04189,121.4638,紙漿、紙及紙製品業,瓦楞紙板及紙容器製造業,,紙箱
台灣三洋電機股份有限公司機械廠,新北市新莊區中正路６１４巷２４號１樓,25.030063600000002,121.465,電力設備業,家用空調器具製造業,,電器用品
毓德企業股份有限公司,新北市新莊區化成路１０號１樓,25.0423317,121.464729,金屬製品業,金屬模具製造業,,模具
台育塑膠鋼模股份有限公司新莊二廠,新北市新莊區中正路４６巷２５號,25.042017,121.4638,金屬製品業,金屬模具製造業,,模具、塑膠製品
仕德工業股份有限公司,新北市新莊區化成路１２號,25.0423737,121.464745,金屬製品業,金屬模具製造業,,模具
勁宸企業有限公司,新北市新莊區中正路５６巷１２弄２３號１樓,25.0408287,121.461952,塑膠製品業,塑膠膜袋製造業,,塑膠袋
首威工業有限公司,新北市新莊區中正路４６巷２６號,25.0420933,121.46392800000001,金屬製品業,未分類其他金屬製品製造業,,五金另件
奇璘科技股份有限公司新莊廠,新北市新莊區化成路１４號１樓,25.04241,121.464767,塑膠製品業,其他塑膠製品製造業,,模型
一成塑膠廠,新北市新莊區中正路５６巷１２弄２１號１樓,25.040879999999998,121.461922,塑膠製品業,塑膠膜袋製造業,塑膠料,塑膠袋
宏昇超硬合金工業有限公司,新北市新莊區中正路４６巷２７號１樓,25.0420914,121.4638,金屬製品業,金屬模具製造業,,模具
惠本企業有限公司,新北市三重區重新路五段６７１號,25.0427589,121.466179,印刷及儲存媒體複製業,印刷業,,相片識別証
鉅威塑膠有限公司二廠,新北市新莊區中正路５６巷１２弄１９號,25.04094,121.461876,塑膠製品業,其他塑膠製品製造業,,塑膠製品
宇創精密有限公司新莊廠,新北市新莊區中正路４６巷２９號１樓,25.0421677,121.46379099999999,金屬製品業,金屬模具製造業,,模具
至格工業有限公司,新北市新莊區中正路４６巷３２號,25.0422688,121.463921,電腦電子及光學品業,電腦製造業,,電腦、電子零件
冠麟實業股份有限公司,新北市新莊區中正路４６巷３１號,25.0422325,121.46379099999999,機械設備業,橡膠及塑膠加工用機械設備製造業,,塑膠另件
鉅威塑膠有限公司一廠,新北市新莊區中正路５６巷１２弄１７號,25.0409966,121.46183,塑膠製品業,其他塑膠製品製造業,,塑膠製品
鼎荃實業有限公司,新北市三重區重新路五段６６３號,25.0429039,121.466324,紡織業,染整業,特多龍,各種纖維紗紡織紗線加工
賜明工業有限公司,新北市新莊區中正路５６巷６號１樓,25.0407772,121.461525,汽車及零件業,車體製造業,,機械零件，汽車零件，小五金，鐵
立演精密工業股份有限公司,新北市新莊區化成路５之１１、５之１２號,25.0425968,121.464615,金屬製品業,金屬模具製造業,,其他模具、雷射成型加工
強興工業股份有限公司,新北市新莊區化成路５之９號,25.0425968,121.464615,機械設備業,其他通用機械設備製造業,壓縮機、冷媒、鐵材,其他機械及零件
新泰工業股份有限公司,新北市新莊區化成路５號,25.0425968,121.464615,電力設備業,電線及電纜製造業,,電線電纜、插頭、電子配線、聯接器
成得針車有限公司,新北市新莊區化成路５之５號１樓,25.0425968,121.464615,機械設備業,未分類其他專用機械設備製造業,,其他生產機械
日瓏實業有限公司新莊廠,新北市新莊區化成路５之８號１樓,25.0425968,121.464615,金屬製品業,未分類其他金屬製品製造業,,不銹鋼金屬撓性管
富鈿五金有限公司,新北市新莊區化成路５之２號,25.0425968,121.464615,金屬製品業,未分類其他金屬製品製造業,,金屬製品
偉集線切割工業股份有限公司,新北市新莊區化成路２６號１、２樓,25.042696,121.464905,金屬製品業,金屬模具製造業,,模具
鴻均興業有限公司,新北市新莊區中正路４６巷３６號,25.0423775,121.463921,機械設備業,未分類其他專用機械設備製造業,,印刷機另配件
家新鐵箱行,新北市新莊區中正路５６巷１２弄８號,25.041013699999997,121.461685,金屬製品業,未分類其他金屬製品製造業,,鐵箱、金屬品
正技精機有限公司,新北市新莊區中正路４６巷３５號１樓,25.0423679,121.46379099999999,金屬製品業,未分類其他金屬製品製造業,,其他金屬製品、汽車及其零件
安成鐵工廠有限公司,新北市新莊區中正路４６巷３８號,25.0424271,121.46391299999999,金屬製品業,未分類其他金屬製品製造業,,金屬製品、五金另件
精英廣告有限公司,新北市三重區重新路五段６５９號１樓,25.04301,121.46644599999999,印刷及儲存媒體複製業,印刷業,,大圖輸出
佳誠塑膠有限公司,新北市新莊區化成路２９巷６２號１樓,25.042806600000002,121.46498100000001,塑膠製品業,其他塑膠製品製造業,,塑膠射出
銘佑工業股份有限公司,新北市新莊區化成路３０之１號,25.042806600000002,121.46498100000001,金屬製品業,金屬模具製造業,,模具零件
嵩鎰電機股份有限公司,新北市新莊區化成路３０號,25.042806600000002,121.46498100000001,機械設備業,電子及半導體生產用機械設備製造業,,電子生產設備、自動焊錫爐
穎藝實業有限公司,新北市新莊區中正路５６巷１２弄１１號１樓,25.04114,121.461739,機械設備業,動力手工具製造業,,機械零件
晟嘉有限公司,新北市新莊區中正路４６巷３７號１樓,25.042425199999997,121.46379099999999,金屬製品業,金屬模具製造業,,模具
駿英有限公司三重廠,新北市三重區重新路五段６５７號１樓,25.043045000000003,121.466476,印刷及儲存媒體複製業,印刷業,相紙、帆布、油墨,大圖印刷
欣翔廣告有限公司三重廠,新北市三重區重新路五段６５７號１樓,25.043045000000003,121.466476,印刷及儲存媒體複製業,印刷業,,大圖輸出
欣發銅品有限公司,新北市新莊區中正路５６巷１之１號,25.0408115,121.461327,金屬製品業,未分類其他金屬製品製造業,,金屬製品相框
薪鐿企業有限公司,新北市新莊區化成路３６巷１０號,25.04301,121.465744,機械設備業,電子及半導體生產用機械設備製造業,,電子及半導體生產設備零組件
裕皇企業有限公司,新北市三重區重新路五段６６１巷４號,25.0431271,121.466141,機械設備業,未分類其他專用機械設備製造業,,對邊機
泰盛興股份有限公司,新北市新莊區中正路５６巷１２弄７號,25.0412464,121.46166200000002,金屬製品業,金屬模具製造業,,模具
泰盛興股份有限公司二廠,新北市新莊區中正路５６巷１２弄４號,25.0411835,121.46156299999998,金屬製品業,金屬模具製造業,,模具
威特實業股份有限公司新莊廠,新北市新莊區中正路５６巷１０號１樓,25.0409966,121.461357,汽車及零件業,汽車零件製造業,,活塞環汽門油封
昱昇企業有限公司,新北市新莊區化成路７之２號,25.0429363,121.46476000000001,機械設備業,其他通用機械設備製造業,,其他機械及零件
合盛齒輪機械股份有限公司化成廠,新北市新莊區化成路７之３號,25.0429363,121.46476000000001,機械設備業,機械傳動設備製造業,,機械零件加工
九昶放電模型工廠,新北市新莊區化成路７之４號,25.0429363,121.46476000000001,金屬製品業,金屬模具製造業,,其他模具
聯德塑膠有限公司二廠,新北市新莊區化成路７之５號,25.0429363,121.46476000000001,塑膠製品業,其他塑膠製品製造業,,塑膠粒染色
九能精密工業有限公司,新北市新莊區化成路７之６號,25.0429363,121.46476000000001,金屬製品業,金屬模具製造業,,模具、機械及零組件
富鎰科技有限公司,新北市新莊區化成路７號,25.0429363,121.46476000000001,機械設備業,未分類其他專用機械設備製造業,,專用生產機械
化成家畜藥廠有限公司,新北市新莊區化成路３６巷１號,25.043106100000003,121.46521000000001,藥品及醫用化學品業,西藥製造業,,動物用藥
翔剛實業股份有限公司三重壹廠,新北市三重區重新路五段６６１巷６、８號,25.04325,121.466118,機械設備業,紡織、成衣及皮革生產用機械設備製造業,,ＰＵ製品
光榮塑膠有限公司,新北市新莊區中正路５６巷１２弄１號１、２樓,25.041141500000002,121.46127299999999,塑膠製品業,其他塑膠製品製造業,,其他塑膠製品
金山行有限公司,新北市新莊區中正路５６巷７號,25.041025199999996,121.46112099999999,金屬製品業,金屬刀具及手工具製造業,,手工具製品、五金
慧機科技股份有限公司三重廠,新北市三重區重新路五段６３９之２號３樓,25.0434074,121.4668,電腦電子及光學品業,其他電腦週邊設備製造業,,自動影像檢測機．影像檢測系統
