id,grid,name,type,lat,lng
5491837376,321,MUJI Cafe & Meal,restaurant,24.1647164,120.6435271
6139190153,303,福記池上飯包,restaurant,24.1743275,120.6886949
4705336589,346,蘑舫咖啡,restaurant,24.1537162,120.7206600
4726208759,347,啤酒桶小吃店,restaurant,24.1496807,120.7255466
3619181963,443,晃點,restaurant,24.0856359,120.7083675
5564893671,344,樺師傅湯品,restaurant,24.1541670,120.6884805
4132604889,100,大埔鐵板燒,restaurant,24.3091005,120.7247928
3493284424,278,東和池上飯包,restaurant,24.1868221,120.6206089
4083158474,300,鮮芋時刻,restaurant,24.1823428,120.6462405
4101969167,300,寶島鍋王,restaurant,24.1780290,120.6423764
7125697703,302,溫州大餛飩,restaurant,24.1715727,120.6736716
6366156707,325,2派克脆皮雞排,restaurant,24.1700200,120.7001527
4726208760,346,京鼎北方小館,restaurant,24.1451581,120.7137786
4258207189,459,阿里巴巴串烤,restaurant,24.0740074,120.7152510
4409948494,346,五花馬水餃館,restaurant,24.1499103,120.7112052
7256106510,302,南台灣土魠魚羹,restaurant,24.1745249,120.6659404
7256106504,302,簡單美食,restaurant,24.1750205,120.6667981
6567003027,364,Louisa Coffee,cafe,24.1399385,120.6587326
5922073973,346,大嘴巴牛排館 太平店,restaurant,24.1494061,120.7114220
7180874348,325,嗎潞早午餐,restaurant,24.1646132,120.6975112
5551211899,324,香港鴻興燒臘快餐,restaurant,24.1627186,120.6824225
3401188099,344,烤狀猿,restaurant,24.1474897,120.6861273
6292628639,176,Subway,fast_food,24.2533501,120.7221935
6068077645,323,牛排大叔,restaurant,24.1656831,120.6630540
5858641233,326,粵香廣東燒臘快餐,restaurant,24.1579212,120.7206639
5562451392,342,白面東極品楊桃汁,restaurant,24.1504844,120.6600394
4908720721,321,K2- JPing Cafè,restaurant,24.1597933,120.6473844
7170215624,283,呷尚寶早餐店-佳茂店,restaurant,24.1895924,120.7017291
6366105277,186,甜心蔥抓餅,restaurant,24.2390636,120.5598799
7170215671,260,呷尚寶,restaurant,24.2023864,120.7069885
5647827521,342,田樂公正小巷店,restaurant,24.1490484,120.6620021
4942422061,346,庒腳囝現滷豆干-太平店,restaurant,24.1547796,120.7194336
6440841385,342,鼎味鹹水雞,restaurant,24.1531670,120.6551421
