id,grid,name,type,lat,lng
5449485558,168,千葉火鍋,restaurant,25.0097617,121.2967633
5889456293,271,星巴克,cafe,24.9571719,121.2408305
5644259153,87,必勝客,restaurant,25.0470218,121.2924689
3785979363,270,一心蔥油餅,restaurant,24.9542584,121.2257989
6305250544,251,171 Café,cafe,24.9667022,121.2991134
5336385006,67,福星小吃,restaurant,25.0601283,121.3622676
5757947331,248,miur,restaurant,24.9641909,121.2569678
3592282112,196,帕可先生,restaurant,24.9917595,121.3019605
2777981284,197,金上元永和豆漿大王,restaurant,24.9961920,121.3157489
7018522414,148,皇家吉利堡,restaurant,25.0241733,121.4242492
6180453868,244,CASA BRASIL NCU,restaurant,24.9643939,121.1910876
5315984549,196,蜀川担担麵/牛肉麵,restaurant,24.9945722,121.2999163
4941444036,135,達美樂披薩,restaurant,25.0191230,121.2306512
4347520485,148,清心福全,cafe,25.0197178,121.4205817
6188849987,244,燈丫腳湯包車,restaurant,24.9647426,121.1933974
5367519654,87,洋城義大利餐廳,restaurant,25.0473706,121.2918678
4420538341,330,涼麵 壽司,restaurant,24.9181184,121.1845636
3016283425,197,3Q 脆皮雞排,fast_food,24.9930155,121.3134308
7076608002,248,四海遊龍,restaurant,24.9737325,121.2603293
2126526409,269,麥當勞,fast_food,24.9569548,121.2040803
6863892154,38,皇家傳承牛肉麵,restaurant,25.0766119,121.2314736
5635182381,68,自助餐,restaurant,25.0589784,121.3696581
4855757139,92,蔡家排骨飯,restaurant,25.0551720,121.3688747
2125610607,270,藝奇日本料理,restaurant,24.9556256,121.2255853
5455666180,275,大呼過癮,restaurant,24.9596353,121.2945996
4524863954,39,漢堡王,fast_food,25.0773426,121.2327564
7076608005,248,美香居港式烤鴨燒臘飯店,restaurant,24.9736122,121.2597647
7343452085,47,JAPOLI義大利餐酒館,restaurant,25.0706655,121.3641070
2125608272,270,三商巧福,restaurant,24.9562230,121.2249111
7217108219,191,大心,restaurant,25.0013209,121.2286698
4452890786,147,焗之森,restaurant,25.0166317,121.4026744
5076938224,92,家芬豆花,restaurant,25.0522482,121.3699913
1455761073,418,大溪湖畔咖啡,cafe,24.8194107,121.2885731
5804318493,157,八方雲集,restaurant,25.0130196,121.1360869
7076473181,221,素食自助餐,restaurant,24.9755585,121.2553163
3686386773,68,85度C,cafe,25.0581814,121.3662203
5300864962,422,大房豆干,restaurant,24.8120659,121.2472447
2785047697,269,香辣小舖,restaurant,24.9562754,121.2109675
2695846620,355,麥當勞,fast_food,24.8947130,121.2762592
4209308422,140,新源芳魚翅餐廳,restaurant,25.0264932,121.2932632
5981892300,196,蘇杭小館,restaurant,24.9929077,121.2997404
5711037568,169,85度C,cafe,25.0075201,121.3160834
5119420074,119,八方雲集,restaurant,25.0297657,121.3891592
2633105194,270,稻葉山城麻辣鍋,restaurant,24.9601992,121.2239099
2135696903,141,老鷹熱炒 ,restaurant,25.0156223,121.3102174
5163258638,251,Pizza Hut,restaurant,24.9616050,121.2999844
6132462942,244,霸王,restaurant,24.9649095,121.1936327
4354215433,140,布納咖啡館,restaurant,25.0157978,121.2985554
4448706503,137,甜甜飲食館,restaurant,25.0245706,121.2581318
6114711440,195,嗨摩尼 韓式烤肉,restaurant,24.9882880,121.2877545
51334270,140,麥當勞,fast_food,25.0206230,121.3034925
3105397119,197,C.SHOP,cafe,24.9908807,121.3164612
5314325621,166,彭家牛肉麵,restaurant,25.0120475,121.2747160
5505111981,68,嘉豐小館,restaurant,25.0589820,121.3688016
