code3,Month,InvoiceCount,SalesAmount,StoreCount,InvoiceCount_AVG,SalesAmount_AVG,StoreCount_AVG
A6400018003,2|6|10|1|5|9|8|12|3|4|11|7,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400020014,,,,,0.0,0.0,0.0
A6400021001,,,,,0.0,0.0,0.0
A6400021002,,,,,0.0,0.0,0.0
A6400021003,2|10|1|4|9|6|8|12|5|7|11|3,55913|60882|60874|60408|60668|60328|56877|59009|65463|61130|58576|61266,87886814|122521594|121853371|115131891|104918621|127332079|112905691|124521256|139711449|122911760|122452402|112898563,8|8|9|9|8|8|8|8|9|8|8|8,60116.166666666664,117920457.58333333,8.25
A6400021004,3|11|5|8|4|6|7|9|10|12|1|2,72333|72950|79031|73436|72846|72676|75617|75625|76232|74155|68846|65692,8723498|8460095|9043948|9353849|8479914|8515489|8912231|9203419|9014078|9454480|8571933|9123084,6|6|6|6|6|6|6|6|6|6|6|6,73286.58333333333,8904668.166666666,6.0
A6400021005,2|8|11|1|4|6|10|7|9|5|12|3,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400021006,10|2|4|9|8|3|6|7|12|1|5|11,64620|51853|61415|61914|61415|63370|60361|62532|64665|59207|68332|62386,15632332|13864787|14401387|15465091|17256419|14618190|14454206|15492029|15236491|14109708|15624190|14642267,5|5|5|5|5|5|5|5|6|5|5|6,61839.166666666664,15066424.75,5.166666666666667
A6400021007,2|11|4|6|5|9|8|12|7|3|10|1,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400021008,6|10|5|8|4|2|9|12|1|3|7|11,16386|13947|16111|16523|6922|12708|15390|14703|17201|8399|16018|13729,54163576|45627225|58256655|53456542|49762952|34206460|45629630|39090121|46268580|51059955|53966148|42217216,8|10|9|10|7|5|9|9|6|7|9|9,14003.083333333334,47808755.0,8.166666666666666
A6400021009,5|3|6|7|10|9|8|12|1|2|4|11,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400021010,2|7|5|1|4|11|12|8|3|9|10|6,-99|313519|-99|-99|-99|326655|318731|-99|-99|322483|347263|327285,-99|49880686|-99|-99|-99|48122665|47176233|-99|-99|49015818|51994814|45433723,-99|5|-99|-99|-99|5|5|-99|-99|5|5|5,325989.3333333333,48603989.833333336,5.0
A6400021011,3|6|10|2|11|5|9|1|12|7|4|8,144032|136078|155266|56431|143578|154094|123370|90628|164881|-99|125015|48977,101450360|88923465|96434552|70209381|95993406|103979635|90437941|95203698|102690987|-99|85580623|89414746,7|6|7|7|8|6|7|7|8|-99|6|5,122031.81818181818,92756254.0,6.7272727272727275
A6400022001,,,,,0.0,0.0,0.0
A6400022002,,,,,0.0,0.0,0.0
A6400022003,,,,,0.0,0.0,0.0
A6400023001,2|7|8|10|4|3|5|9|1|6|12|11,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400023002,,,,,0.0,0.0,0.0
A6400023003,7|11|2|6|3|4|9|5|8|12|1|10,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400023004,10|5|9|3|6|1|4|8|7|12|2|11,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400023005,1|10|4|2|6|9|5|8|12|3|7|11,63815|73726|72800|66485|71731|76542|77017|73943|73858|68913|76910|77116,10525561|10350714|10995568|12886466|11028139|11288419|11514839|11895570|11014507|11042522|11136645|10858582,10|9|10|10|10|9|10|10|10|10|10|9,72738.0,11211461.0,9.75
A6400023006,3|9|10|2|1|6|12|4|8|5|7|11,102257|107390|104165|95503|98531|104022|102717|102378|106588|109360|110271|101315,22019346|23344720|22361817|23826149|22587984|21684222|22973647|22406351|25944734|22559086|23582467|22184816,8|8|8|8|8|8|8|8|8|8|8|8,103708.08333333333,22956278.25,8.0
A6400023007,9|11|5|8|12|2|4|3|6|10|1|7,35044|37074|35109|32314|36533|-99|24360|-99|32380|37123|-99|34248,27320861|33017759|30039564|24546531|38873262|-99|21521588|-99|23817082|36602850|-99|27225523,5|5|5|5|5|-99|5|-99|5|5|-99|5,33798.333333333336,29218335.555555556,5.0
