area2,mean_price
北區,53800.6741038771
安平區,50338.65541429198
中西區,55511.1214057508
安南區,48464.43379685611
南區,45948.90184453228
東區,52175.82743269027
新營區,36166.14838709677
東山區,29774.033333333333
麻豆區,41098.50294695481
佳里區,38250.3614973262
新化區,34549.613402061856
歸仁區,47886.00113122172
仁德區,46980.64655663062
永康區,48298.19404019404
白河區,33245.244680851065
關廟區,38320.2144772118
新市區,45815.66275167785
安定區,39141.956043956045
官田區,50338.26426426427
學甲區,29183.401544401546
西港區,32878.99032258065
善化區,49841.560650029016
鹽水區,76636.2536231884
玉井區,27400.86170212766
七股區,25344.632911392404
六甲區,31839.060344827587
大內區,14279.333333333334
柳營區,37989.783269961976
下營區,27508.067226890755
後壁區,24091.0099009901
山上區,36006.746268656716
將軍區,29238.01851851852
楠西區,28876.25581395349
南化區,17366.6
北門區,13882.285714285714
左鎮區,0.0
