area2,mean_price
文山區,142479.27636664826
中正區,249610.36782608696
萬華區,154311.03793328974
大同區,179238.52750434278
內湖區,171696.7965965966
中山區,206503.79430498314
南港區,162919.85102040815
信義區,218799.3186613314
松山區,214951.4629281144
士林區,182977.393129771
北投區,138652.31710741867
大安區,257647.62489270387
土城區,104397.54367402071
板橋區,111037.47679614987
新莊區,107517.13497559314
林口區,90772.29904674047
泰山區,82410.30392156863
五股區,79616.21292170593
新店區,112332.0
深坑區,79579.45384615385
汐止區,93577.80821513002
金山區,42946.44588744589
萬里區,27087.13656387665
淡水區,71659.43206614388
三芝區,31386.950636942674
八里區,60377.160358565736
三重區,115536.9403288693
蘆洲區,104573.65523097826
永和區,135978.12560679612
中和區,121729.0443426919
三峽區,74388.90490680868
樹林區,81014.49770992367
鶯歌區,59357.286116700205
瑞芳區,30423.5291005291
石門區,23468.30769230769
石碇區,40332.4
雙溪區,26629.321428571428
烏來區,0.0
貢寮區,19285.25
平溪區,0.0
坪林區,0.0
