code3	Month	PowerRate	PowerSum	PowerUser	PowerRate_AVG	PowerSum_AVG	PowerUser_AVG
A1000207008	1|2|3|4|5|6	624127.32|717550.03|1166642.78|1064179.85|1191681.26|1656596.39	321758|279457|441950|413098|433054|512012	1189|2217|2971|1589|1447|1451	1070129.605	400221.5	1810.666667
A1000205015	1|2|3|4|5|6	1327422.84|1476016.83|1945363.42|1990560.52|2183386.84|2877541.49	740012|640178|739235|743808|804990|907904	1875|1815|1890|1951|1919|1855	1966715.323	762687.8333	1884.166667
A1000205016	1|2|3|4|5|6	969994.32|1106923.5|1485988.06|1487232.94|1593248.45|2048241.21	600473|516734|594632|590216|628900|703775	2120|2052|2137|2069|2035|1967	1448604.747	605788.3333	2063.333333
A1000207008	1|2|3|4|5|6	624127.32|717550.03|1166642.78|1064179.85|1191681.26|1656596.39	321758|279457|441950|413098|433054|512012	1189|2217|2971|1589|1447|1451	1070129.605	400221.5	1810.666667
A1000201002	1|2|3|4|5|6	1079470.33|1554807.78|1747753.73|1650879.66|2203830.3|3007480.22	545902|634733|632012|591684|790170|941090	1674|4102|3618|3358|4138|4270	1874037.003	689265.1667	3526.666667
A1000201003	1|2|3|4|5|6	1944349.31|2538406.93|2931954.83|2569618.33|3582856.62|5258175.49	843051|935798|994488|879498|1210776|1501784	1734|2213|2016|1827|2233|2321	3137560.252	1060899.167	2057.333333
A1000201001	1|2|3|4|5|6	1674383.67|2095880.8|2487183.76|2209042.31|3196312.47|4164786.48	712437|764763|823734|735130|1045915|1190033	1428|1834|1669|1504|1849|2034	2637931.582	878668.6667	1719.666667
A1000206003	1|2|3|4|5|6	859201.26|942198.09|886058.73|970944.13|1299948.8|1711539.44	403643|397539|376968|414358|517905|641203	1296|1345|2374|2584|1377|2998	1111648.408	458602.6667	1995.666667
A1000206004	1|2|3|4|5|6	973756.06|1192818.42|1050032.75|1257772.53|1581705.03|2243278.64	460902|481838|432855|504290|600980|775635	2868|1585|2952|3222|3282|1951	1383227.238	542750	2643.333333
A1000201002	1|2|3|4|5|6	1079470.33|1554807.78|1747753.73|1650879.66|2203830.3|3007480.22	545902|634733|632012|591684|790170|941090	1674|4102|3618|3358|4138|4270	1874037.003	689265.1667	3526.666667
A1000207002	1|2|3|4|5|6	561324.54|679198.95|1098602.49|1389930.1|1559027.84|1938569.0	379635|386418|493120|571602|591790|693895	2438|2412|1707|3296|1587|3088	1204442.153	519410	2421.333333
A1000201005	1|2|3|4|5|6	580771.91|954852.91|1109615.02|1013390.71|1351488.31|2146892.46	381683|441326|444154|407369|543273|697948	2052|1412|1286|2162|1424|2756	1192835.22	485958.8333	1848.666667
A1000207003	1|2|3|4|5|6	712418.27|803371.3|1379234.24|1636217.75|1856554.57|2196852.27	449818|435676|579991|648138|682245|770295	2615|1383|3464|3548|1689|3331	1430774.733	594360.5	2671.666667
A1000201011	1|2|3|4|5|6	980463.93|1298561.25|1538428.93|1291798.67|1828461.67|2809824.87	460895|496215|542865|467655|656246|812390	1873|2413|2193|1077|2433|2513	1624589.887	572711	2083.666667
A1000206005	1|2|3|4|5|6	821862.89|1034748.79|807468.45|1065871.05|1330279.53|1864183.54	352469|392723|329036|415871|482770|649481	1093|1158|1061|2174|1177|2503	1154069.042	437058.3333	1527.666667
A1000201006	1|2|3|4|5|6	1511398.01|1994611.99|1968310.77|1865703.76|3207629.23|3618638.26	555809|690346|655427|609173|944042|1040428	1698|2187|2005|1803|2214|2288	2361048.67	749204.1667	2032.5
A1000206007							
A1000201007	1|2|3|4|5|6	1476226.38|2032428.83|2028605.57|1821498.41|3126250.95|3982280.4	642800|774195|761993|685374|1068140|1243440	1872|2412|2192|1972|2432|2512	2411215.09	862657	2232
A1000201014	1|2|3|4|5|6	806053.37|1274934.09|1056190.09|1081301.97|1638830.63|2202976.86	336864|465303|399342|403165|572869|729756	2052|1413|1305|1186|1430|1478	1343381.168	484549.8333	1477.333333
A1000201008	1|2|3|4|5|6	1657194.39|2418880.03|2346431.97|2482999.62|3981585.11|4954157.74	643656|851056|786020|805642|1159651|1412617	1890|2448|2219|1991|2467|2539	2973541.477	943107	2259
A1000201009	1|2|3|4|5|6	863592.37|1384893.33|1612165.94|1357532.0|1890381.68|3492768.65	499131|543238|592483|525096|716114|1019934	2801|3611|3281|2951|1916|1976	1766888.995	649332.6667	2756
A1000206010	1|2|3|4|5|6	975854.26|1022898.21|1038714.03|1110008.24|1767819.77|2148152.74	429956|412827|418044|445176|614269|726175	1582|1656|1531|3215|3275|1917	1343907.875	507741.1667	2196
A1000201010	1|2|3|4|5|6	425859.06|882485.34|934231.27|855167.81|1123486.35|2296279.44	348410|401175|406150|381530|500616|739929	1285|2876|2835|2549|3147|1699	1086251.545	462968.3333	2398.5
A1000201015	1|2|3|4|5|6	1296601.96|2179692.07|2359428.61|1858818.14|2390434.85|4086772.02	751831|852064|874820|734337|950625|1275935	1959|2526|2295|2064|2547|2631	2361957.942	906602	2337
