Code3,all_code3,Year,Month,PowerSum,PowerSum_AVG
A1000201003,A1000201003|A1000201003|A1000201003|A1000201003|A1000201003|A1000201003,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,37605|33335|37048|34162|36353|34315,35469.666666666664
A1000201001,A1000201001|A1000201001|A1000201001|A1000201001|A1000201001|A1000201001,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,24997|21728|25196|23290|25231|23977,24069.833333333332
A1000206003,A1000206003|A1000206003|A1000206003|A1000206003|A1000206003|A1000206003,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,13222|11779|13053|11708|12813|12197,12462.0
A1000206004,A1000206004|A1000206004|A1000206004|A1000206004|A1000206004|A1000206004,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,19043|16549|18973|17576|19224|18119,18247.333333333332
A1000201002,A1000201002|A1000201002|A1000201002|A1000201002|A1000201002|A1000201002,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,20647|18114|20917|19121|21032|20460,20048.5
A1000207002,A1000207002|A1000207002|A1000207002|A1000207002|A1000207002|A1000207002,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,12889|11409|12952|11834|12952|12693,12454.833333333334
A1000201005,A1000201005|A1000201005|A1000201005|A1000201005|A1000201005|A1000201005,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,17488|15689|18010|16299|17630|17119,17039.166666666668
A1000207003,A1000207003|A1000207003|A1000207003|A1000207003|A1000207003|A1000207003,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,18878|16708|19111|18266|20058|20055,18846.0
A1000201011,A1000201011|A1000201011|A1000201011|A1000201011|A1000201011|A1000201011,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,9912|8795|9998|9304|10210|9823,9673.666666666666
A1000206005,A1000206005|A1000206005|A1000206005|A1000206005|A1000206005|A1000206005,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,12505|11349|12683|11447|12574|12121,12113.166666666666
A1000201006,A1000201006|A1000201006|A1000201006|A1000201006|A1000201006|A1000201006,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,22231|19467|21721|21392|22365|21884,21510.0
,,,,,0.0
A1000201007,A1000201007|A1000201007|A1000201007|A1000201007|A1000201007|A1000201007,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,27007|24464|27590|26306|27860|26714,26656.833333333332
A1000201014,A1000201014|A1000201014|A1000201014|A1000201014|A1000201014|A1000201014,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,19939|16843|18696|19998|20551|21004,19505.166666666668
A1000201008,A1000201008|A1000201008|A1000201008|A1000201008|A1000201008|A1000201008,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,25562|22505|24820|26475|27017|26185,25427.333333333332
A1000201009,A1000201009|A1000201009|A1000201009|A1000201009|A1000201009|A1000201009,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,11797|10505|11948|10992|11924|11466,11438.666666666666
A1000206010,A1000206010|A1000206010|A1000206010|A1000206010|A1000206010|A1000206010,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,24734|21858|24982|23764|25530|25046,24319.0
A1000201010,A1000201010|A1000201010|A1000201010|A1000201010|A1000201010|A1000201010,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,19815|18297|20659|18599|19638|18983,19331.833333333332
A1000201015,A1000201015|A1000201015|A1000201015|A1000201015|A1000201015|A1000201015,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,20110|17743|20317|18886|19910|19329,19382.5
A1000201013,A1000201013|A1000201013|A1000201013|A1000201013|A1000201013|A1000201013,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,69569|62867|69144|69991|70337|70831,68789.83333333333
,,,,,0.0
A1000201012,A1000201012|A1000201012|A1000201012|A1000201012|A1000201012|A1000201012,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,45925|40993|45361|44786|46038|47313,45069.333333333336
A1000201019,A1000201019|A1000201019|A1000201019|A1000201019|A1000201019|A1000201019,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,45080|39085|44496|42551|45435|43823,43411.666666666664
A1000201018,A1000201018|A1000201018|A1000201018|A1000201018|A1000201018|A1000201018,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,12297|10739|12440|11827|12390|11764,11909.5
A1000201017,A1000201017|A1000201017|A1000201017|A1000201017|A1000201017|A1000201017,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,40658|34683|38198|39468|42676|41966,39608.166666666664
A1000207006,A1000207006|A1000207006|A1000207006|A1000207006|A1000207006|A1000207006,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,14812|13052|14897|13770|15104|14538,14362.166666666666
A1000201023,A1000201023|A1000201023|A1000201023|A1000201023|A1000201023|A1000201023,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,27652|24318|27701|27002|30305|32308,28214.333333333332
A1000201020,A1000201020|A1000201020|A1000201020|A1000201020|A1000201020|A1000201020,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,21096|19070|20939|20611|20597|21712,20670.833333333332
A1000201021,A1000201021|A1000201021|A1000201021|A1000201021|A1000201021|A1000201021,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,17859|16298|17580|17800|17877|18588,17667.0
A1000201022,A1000201022|A1000201022|A1000201022|A1000201022|A1000201022|A1000201022,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,2084|1284|1834|1965|2393|2834,2065.6666666666665
A1000201024,A1000201024|A1000201024|A1000201024|A1000201024|A1000201024|A1000201024,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,20301|18851|19756|20104|20333|21277,20103.666666666668
A1000201025,A1000201025|A1000201025|A1000201025|A1000201025|A1000201025|A1000201025,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,31795|28652|32846|30865|33148|33236,31757.0
A1000207005,A1000207005|A1000207005|A1000207005|A1000207005|A1000207005|A1000207005,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,23117|20473|22597|22440|22433|23740,22466.666666666668
A1000201026,A1000201026|A1000201026|A1000201026|A1000201026|A1000201026|A1000201026,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,30614|28125|29631|30305|30815|32462,30325.333333333332
A1000206006,A1000206006|A1000206006|A1000206006|A1000206006|A1000206006|A1000206006,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,27800|24934|28131|26067|28146|27674,27125.333333333332
A1000201032,A1000201032|A1000201032|A1000201032|A1000201032|A1000201032|A1000201032,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,53143|47299|53455|51243|54786|53699,52270.833333333336
A1000207005,A1000207005|A1000207005|A1000207005|A1000207005|A1000207005|A1000207005,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,23117|20473|22597|22440|22433|23740,22466.666666666668
