area2,mean_price
鼓山區,64959.4085054678
鹽埕區,50562.32594936709
旗津區,42312.13461538462
前金區,63319.957295373664
苓雅區,63614.675333187675
新興區,60373.33601756955
前鎮區,56776.52072209509
小港區,42352.79591091639
三民區,51866.38391376451
左營區,60063.11492936235
楠梓區,48238.523243724936
岡山區,46444.24382097529
鳳山區,50676.831809626245
大樹區,35164.36187845304
仁武區,57789.47119341564
鳥松區,54119.7387466902
路竹區,46590.63425925926
湖內區,32985.92125984252
美濃區,33916.82828282828
大寮區,39363.02562704471
林園區,30736.865122615804
大社區,42475.54181818182
旗山區,26934.306397306398
燕巢區,42430.93399339934
彌陀區,37843.75
梓官區,38447.415343915345
阿蓮區,34957.258278145695
橋頭區,48343.124274099886
永安區,23852.92
甲仙區,12500.516129032258
茄萣區,29988.920398009952
六龜區,17027.88
內門區,20465.166666666668
桃源區,0.0
杉林區,11875.75
